0,1,2,3,4,5,6,7,8
atmosfære  biosfære  hemisfære,,hydrosfære  indflydelsessfære  interessesfære,,intimsfære  ionosfære  jonosfære,,kromosfære  privatsfære  sfærisk,,stratosfære  troposfære
commongender,Singular,Plural,,,,,,
indefinite,definite,indefinite,definite,,,,,
nominative,sfære,sfæren,sfærer,sfærerne,,,,
genitive,sfæres,sfærens,sfærers,sfærernes,,,,
