0,1,2,3,4,5
,masculine,neuter,feminine,plural,
nominative,эсто́нскийestónskij,эсто́нскоеestónskoje,эсто́нскаяestónskaja,эсто́нскиеestónskije,
genitive,эсто́нскогоestónskovo,эсто́нскойestónskoj,эсто́нскихestónskix,,
dative,эсто́нскомуestónskomu,эсто́нскойestónskoj,эсто́нскимestónskim,,
accusative,animate,эсто́нскогоestónskovo,эсто́нскоеestónskoje,эсто́нскуюestónskuju,эсто́нскихestónskix
inanimate,эсто́нскийestónskij,эсто́нскиеestónskije,,,
instrumental,эсто́нскимestónskim,"эсто́нской, эсто́нскоюestónskoj, estónskoju",эсто́нскимиestónskimi,,
prepositional,эсто́нскомestónskom,эсто́нскойestónskoj,эсто́нскихestónskix,,
,singular,,,,
nominative,N;NOM;SG,,,,
genitive,N;GEN;SG,,,,
dative,N;DAT;SG,,,,
accusative,N;ACC;SG,,,,
instrumental,N;INS;SG,,,,
prepositional,N;ESS;SG,,,,
