0,1,2
Noun class,singular,plural
M-wa class,ADJ;SG;LGSPEC1,ADJ;PL;LGSPEC1
M-mi class,ADJ;SG;LGSPEC2,ADJ;PL;LGSPEC2
Ma class,ADJ;SG;LGSPEC7,ADJ;PL;LGSPEC7
Ki-vi class,ADJ;SG;LGSPEC3,ADJ;PL;LGSPEC3
N class,ADJ;SG;LGSPEC4,ADJ;PL;LGSPEC4
U class,ADJ;SG;LGSPEC5,ADJ;PL;LGSPEC5
Pa class,ADJ;SG;LGSPEC8,ADJ;PL;LGSPEC8
Ku class,ADJ;SG;LGSPEC6,ADJ;PL;LGSPEC6
Mu class,ADJ;SG;LGSPEC9,ADJ;PL;LGSPEC9
