0,1,2
Noun class,singular,plural
M-wa class,N;SG;LGSPEC1,N;PL;LGSPEC1
M-mi class,N;SG;LGSPEC2,N;PL;LGSPEC2
Ma class,N;SG;LGSPEC7,N;PL;LGSPEC7
Ki-vi class,N;SG;LGSPEC3,N;PL;LGSPEC3
N class,N;SG;LGSPEC4,N;PL;LGSPEC4
U class,N;SG;LGSPEC5,N;PL;LGSPEC5
Pa class,N;SG;LGSPEC8,N;PL;LGSPEC8
Ku class,N;SG;LGSPEC6,N;PL;LGSPEC6
Mu class,N;SG;LGSPEC9,N;PL;LGSPEC9
