0,1,2
audio,,(file)
audio,,(file)
case,singular,plural
indefinite,пхъэ (pχă),пхъэхэ (pχăxă)
nominative,пхъэр (pχăr),пхъэхэр (pχăxăr)
ergative,пхъэм (pχăm),пхъэхэмэ (pχăxămă)
instrumental,пхъэ(м)кӏэ (pχă(m)č̣̍ă),пхъэхэ(м)кӏэ (pχăxă(m)č̣̍ă)
invertive,пхъэу (pχăw),пхъэхыу (pχăxəw)
