0,1,2
Independent,positive,negative
1st person (1s) Niin,nindabwe,nindabwesii
2nd person (2s) Giin,gidabwe,gidabwesii
3rd person (3s) Wiin,abwe,abwesii
Obviative (3'),abwewan,abwesiiwan
Indefinite (X),abwem,abwesiim
1st person plural exclusive (1p) Niinawind,nindabwemin,nindabwesiimin
1st person plural inclusive (21) Giinawind,gidabwemin,gidabwesiimin
2nd person plural (2p) Giinawaa,gidabwem,gidabwesiim
3rd person plural (3p) Wiinawaa,abwewag,abwesiiwag
Conjunct,positive,negative
1st person (1s) Niin,abweyaan,abwesiwaan
2nd person (2s) Giin,abweyan/yin,abwesiwan/siwin
3rd person (3s) Wiin,abwed,abwesig
Obviative (3'),abwenid,abwesinid/sinig
Indefinite (X),abweng,abwesing
1st person plural exclusive (1p) Niinawind,abweyaang,abwesiwaang
1st person plural inclusive (21) Giinawind,abweyang/ying,abwesiwang/siwing
2nd person plural (2p) Giinawaa,abweyeg,abwesiweg
3rd person plural (3p) Wiinawaa,abwewaad,abwesiwaad
