0,1,2
PIE root,,
*swep-,,
infinitive,spáti,
supine,spàt,
verbal noun,spánje,
participles,adjectival,adverbial
present active,spèč,spé
past active,spál,—
past passive,,—
,present indicative,imperative
1st singular,spím,—
2nd singular,spíš,spí
3rd singular,spí,—
1st dual,spíva,spíva
2nd dual,spíta,spíta
3rd dual,spíta,—
1st plural,spímo,spímo
2nd plural,spíte,spíte
3rd plural,"spíjo, spé",—
Compound tenses (see spál for all forms),,
past indic.,sem spál,
pluperfect indic.,sem bil spál,
future indic.,bom spál,
present cond.,bi spál,
past cond.,bi bil spál,
