0,1
Chemical element,
F,Previous: kisík (O)
Next: néon (Ne),
,singular
nominative,flúor
accusative,flúor
genitive,flúora
dative,flúoru
locative,flúoru
instrumental,flúorom
,singular
nominative,flúor
accusative,flúor
genitive,flúorja
dative,flúorju
locative,flúorju
instrumental,flúorjem
