0,1,2
imperfective aspect,,
infinitive,тка́ти (tkáty),
participles,present tense,past tense
active,—,—
passive,—,тка́ний (tkányj)impersonal: тка́но (tkáno)
adverbial,тчучи́ (tčučý),тка́вши (tkávšy)
,present tense,future tense
1st singular я,тчу (tču),бу́ду тка́ти (búdu tkáty) тка́тиму (tkátymu)
2nd singular ти,тчеш (tčeš),бу́деш тка́ти (búdeš tkáty) тка́тимеш (tkátymeš)
3rd singular він / вона / воно,тче (tče),бу́де тка́ти (búde tkáty) тка́тиме (tkátyme)
1st plural ми,"тчемо́, тчем (tčemó, tčem)",бу́демо тка́ти (búdemo tkáty) тка́тимемо (tkátymemo)
2nd plural ви,тчете́ (tčeté),бу́дете тка́ти (búdete tkáty) тка́тимете (tkátymete)
3rd plural вони,тчуть (tčutʹ),бу́дуть тка́ти (búdutʹ tkáty) тка́тимуть (tkátymutʹ)
imperative,singular,plural
first-person,—,"тчі́мо, тчім (tčímo, tčim)"
second-person,тчи (tčy),тчіть (tčitʹ)
past tense,singular,plural ми / ви / вони
masculine я / ти / він,ткав (tkav),тка́ли (tkály)
feminine я / ти / вона,тка́ла (tkála),
neuter воно,тка́ло (tkálo),
