0,1,2,3,4,5,6,7,8,9,10
<  5th,6th,7th  >,,,,,,,,
Cardinal : шість ‎(šistʹ)     Ordinal : шостий ‎(šostyj),,,,,,,,,,
,,,,,,,,,,
Audio,,(file),,,,,,,,
,masculine,neuter,feminine,plural,,,,,,
nominative,шо́стийšóstyj,"шо́сте, шо́стеє*šóste, šósteje*","шо́ста, шо́стая*šósta, šóstaja*","шо́сті, шо́стії*šósti, šóstiji*",,,,,,
genitive,шо́стогоšóstoho,шо́стоїšóstoji,шо́стихšóstyx,,,,,,,
dative,шо́стомуšóstomu,шо́стійšóstij,шо́стимšóstym,,,,,,,
accusative,animate,шо́стогоšóstoho,"шо́сте, шо́стеє*šóste, šósteje*","шо́сту, шо́стую*šóstu, šóstuju*",шо́стихšóstyx,,,,,
inanimate,шо́стийšóstyj,"шо́сті, шо́стії*šósti, šóstiji*",,,,,,,,
instrumental,шо́стимšóstym,шо́стоюšóstoju,шо́стимиšóstymy,,,,,,,
locative,"шо́стому, шо́стімšóstomu, šóstim",шо́стійšóstij,шо́стихšóstyx,,,,,,,
notes,* Dated or dialectal,,,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,нульови́й ‎(nulʹovýj),пе́рший ‎(péršyj),дру́гий ‎(drúhyj),тре́тій ‎(trétij),четве́ртий ‎(četvértyj),п'я́тий ‎(pʺjátyj),шо́стий ‎(šóstyj),сьо́мий ‎(sʹómyj),во́сьмий ‎(vósʹmyj),дев'я́тий ‎(devʺjátyj)
1—,деся́тий ‎(desjátyj),одина́дцятий ‎(odynádcjatyj),двана́дцятий ‎(dvanádcjatyj),трина́дцятий ‎(trynádcjatyj),чотирна́дцятий ‎(čotyrnádcjatyj),п'ятна́дцятий ‎(pʺjatnádcjatyj),шістна́дцятий ‎(šistnádcjatyj),сімна́дцятий ‎(simnádcjatyj),вісімна́дцятий ‎(visimnádcjatyj),дев'ятна́дцятий ‎(devʺjatnádcjatyj)
2—,двацца́ты ‎(dvaccáty),два́дцять пе́рший ‎(dvádcjatʹ péršyj),два́дцять дру́гий ‎(dvádcjatʹ drúhyj),два́дцять тре́тій ‎(dvádcjatʹ trétij),два́дцять четве́ртий ‎(dvádcjatʹ četvértyj),два́дцять п'я́тий ‎(dvádcjatʹ pʺjátyj),два́дцять шо́стий ‎(dvádcjatʹ šóstyj),два́дцять сьо́мий ‎(dvádcjatʹ sʹómyj),два́дцять во́сьмий ‎(dvádcjatʹ vósʹmyj),два́дцять дев'я́тий ‎(dvádcjatʹ devʺjátyj)
3—,тридця́тий ‎(trydcjátyj),три́дцять пе́рший ‎(trýdcjatʹ péršyj),три́дцять дру́гий ‎(trýdcjatʹ drúhyj),три́дцять тре́тій ‎(trýdcjatʹ trétij),три́дцять четве́ртий ‎(trýdcjatʹ četvértyj),три́дцять п'я́тий ‎(trýdcjatʹ pʺjátyj),три́дцять шо́стий ‎(trýdcjatʹ šóstyj),три́дцять сьо́мий ‎(trýdcjatʹ sʹómyj),три́дцять во́сьмий ‎(trýdcjatʹ vósʹmyj),три́дцять дев'я́тий ‎(trýdcjatʹ devʺjátyj)
4—,сороко́вий ‎(sorokóvyj),со́рок пе́рший ‎(sórok péršyj),со́рок дру́гий ‎(sórok drúhyj),со́рок тре́тій ‎(sórok trétij),со́рок четве́ртий ‎(sórok četvértyj),со́рок п'я́тий ‎(sórok pʺjátyj),со́рок шо́стий ‎(sórok šóstyj),со́рок сьо́мий ‎(sórok sʹómyj),со́рок во́сьмий ‎(sórok vósʹmyj),со́рок дев'я́тий ‎(sórok devʺjátyj)
5—,п'ятдеся́тий ‎(pʺjatdesjátyj),п'ятдеся́т пе́рший ‎(pʺjatdesját péršyj),п'ятдеся́т дру́гий ‎(pʺjatdesját drúhyj),п'ятдеся́т тре́тій ‎(pʺjatdesját trétij),п'ятдеся́т четве́ртий ‎(pʺjatdesját četvértyj),п'ятдеся́т п'я́тий ‎(pʺjatdesját pʺjátyj),п'ятдеся́т шо́стий ‎(pʺjatdesját šóstyj),п'ятдеся́т сьо́мий ‎(pʺjatdesját sʹómyj),п'ятдеся́т во́сьмий ‎(pʺjatdesját vósʹmyj),п'ятдеся́т дев'я́тий ‎(pʺjatdesját devʺjátyj)
6—,шістдеся́тий ‎(šistdesjátyj),шістдеся́т пе́рший ‎(šistdesját péršyj),шістдеся́т дру́гий ‎(šistdesját drúhyj),шістдеся́т тре́тій ‎(šistdesját trétij),шістдеся́т четве́ртий ‎(šistdesját četvértyj),шістдеся́т п'я́тий ‎(šistdesját pʺjátyj),шістдеся́т шо́стий ‎(šistdesját šóstyj),шістдеся́т сьо́мий ‎(šistdesját sʹómyj),шістдеся́т во́сьмий ‎(šistdesját vósʹmyj),шістдеся́т дев'я́тий ‎(šistdesját devʺjátyj)
7—,сімдеся́тий ‎(simdesjátyj),сімдеся́т пе́рший ‎(simdesját péršyj),сімдеся́т дру́гий ‎(simdesját drúhyj),сімдеся́т тре́тій ‎(simdesját trétij),сімдеся́т четве́ртий ‎(simdesját četvértyj),сімдеся́т п'я́тий ‎(simdesját pʺjátyj),сімдеся́т шо́стий ‎(simdesját šóstyj),сімдеся́т сьо́мий ‎(simdesját sʹómyj),сімдеся́т во́сьмий ‎(simdesját vósʹmyj),сімдеся́т дев'я́тий ‎(simdesját devʺjátyj)
8—,вісімдеся́тий ‎(visimdesjátyj),вісімдеся́т пе́рший ‎(visimdesját péršyj),вісімдеся́т дру́гий ‎(visimdesját drúhyj),вісімдеся́т тре́тій ‎(visimdesját trétij),вісімдеся́т четве́ртий ‎(visimdesját četvértyj),вісімдеся́т п'я́тий ‎(visimdesját pʺjátyj),вісімдеся́т шо́стий ‎(visimdesját šóstyj),вісімдеся́т сьо́мий ‎(visimdesját sʹómyj),вісімдеся́т во́сьмий ‎(visimdesját vósʹmyj),вісімдеся́т дев'я́тий ‎(visimdesját devʺjátyj)
9—,дев'яно́стий ‎(devʺjanóstyj),дев'яно́сто пе́рший ‎(devʺjanósto péršyj),дев'яно́сто дру́гий ‎(devʺjanósto drúhyj),дев'яно́сто тре́тій ‎(devʺjanósto trétij),дев'яно́сто четве́ртий ‎(devʺjanósto četvértyj),дев'яно́сто п'я́тий ‎(devʺjanósto pʺjátyj),дев'яно́сто шо́стий ‎(devʺjanósto šóstyj),дев'яно́сто сьо́мий ‎(devʺjanósto sʹómyj),дев'яно́сто во́сьмий ‎(devʺjanósto vósʹmyj),дев'яно́сто дев'я́тий ‎(devʺjanósto devʺjátyj)
