0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,φωνήεις,φωνήεσσᾰ,φωνῆεν,,φωνήεντε,φωνηέσσᾱ,φωνήεντε,,φωνήεντες,φωνήεσσαι,φωνήεντᾰ
Genitive,φωνήεντος,φωνηέσσης,φωνήεντος,,φωνηέντοιν,φωνηέσσαιν,φωνηέντοιν,,φωνηέντων,φωνηεσσῶν,φωνηέντων
Dative,φωνήεντῐ,φωνηέσσῃ,φωνήεντῐ,,φωνηέντοιν,φωνηέσσαιν,φωνηέντοιν,,φωνήεσῐ,φωνηέσσαις,φωνήεσῐ
Accusative,φωνήεντᾰ,φωνήεσσᾰν,φωνῆεν,,φωνήεντε,φωνηέσσᾱ,φωνήεντε,,φωνήεντᾰς,φωνηέσσᾱς,φωνήεντᾰ
Vocative,φωνῆεν,φωνήεσσᾰ,φωνῆεν,,φωνήεντε,φωνηέσσᾱ,φωνήεντε,,φωνήεντες,φωνήεσσαι,φωνήεντᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
φωνηέντως,,φωνηέστερος,,φωνηέστᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Number,Singular,Dual,Plural,,,,,,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,
Nominative,φωνῆς,φωνῆσσᾰ,φωνῆν,φωνῆντε,φωνήσσᾱ,φωνῆντε,φωνῆντες,φωνῆσσαι,φωνῆντᾰ,,
Genitive,φωνῆντος,φωνήσσης,φωνῆντος,φωνήντοιν,φωνήσσαιν,φωνήντοιν,φωνήντων,φωνησσῶν,φωνήντων,,
Dative,φωνῆντῐ,φωνήσσῃ,φωνῆντῐ,φωνήντοιν,φωνήσσαιν,φωνήντοιν,φωνῆσῐν,φωνήσσαις,φωνῆσῐν,,
Accusative,φωνῆντᾰ,φωνῆσσᾰν,φωνῆν,φωνῆντε,φωνήσσᾱ,φωνῆντε,φωνῆντᾰς,φωνήσσᾱς,φωνῆντᾰ,,
Vocative,φωνῆν,φωνῆσσᾰ,φωνῆν,φωνῆντε,φωνήσσᾱ,φωνῆντε,φωνῆντες,φωνῆσσαι,φωνῆντᾰ,,
,,,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,φωνᾱ́εις,φωνᾱ́εσσᾰ,φωνᾶεν,,φωνᾱ́εντε,φωνᾱέσσᾱ,φωνᾱ́εντε,,φωνᾱ́εντες,φωνᾱ́εσσαι,φωνᾱ́εντᾰ
Genitive,φωνᾱ́εντος,φωνᾱέσσης,φωνᾱ́εντος,,φωνᾱέντοιν,φωνᾱέσσαιν,φωνᾱέντοιν,,φωνᾱέντων,φωνᾱεσσᾶν,φωνᾱέντων
Dative,φωνᾱ́εντῐ,φωνᾱέσσῃ,φωνᾱ́εντῐ,,φωνᾱέντοιν,φωνᾱέσσαιν,φωνᾱέντοιν,,φωνᾱέντεσσῐ,φωνᾱέσσαις,φωνᾱέντεσσῐ
Accusative,φωνᾱ́εντᾰ,φωνᾱ́εσσᾰν,φωνᾶεν,,φωνᾱ́εντε,φωνᾱέσσᾱ,φωνᾱ́εντε,,φωνᾱ́εντᾰς,φωνᾱέσσᾱς,φωνᾱ́εντᾰ
Vocative,φωνᾶεν,φωνᾱ́εσσᾰ,φωνᾶεν,,φωνᾱ́εντε,φωνᾱέσσᾱ,φωνᾱ́εντε,,φωνᾱ́εντες,φωνᾱ́εσσαι,φωνᾱ́εντᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
φωνᾱέντως,,φωνᾱέστερος,,φωνᾱέστᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
