0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ὅμοιος,ὁμοίᾱ,ὅμοιον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὅμοιοι,ὁμοῖαι,ὅμοιᾰ
Genitive,ὁμοίου,ὁμοίᾱς,ὁμοίου,,ὁμοίοιν,ὁμοίαιν,ὁμοίοιν,,ὁμοίων,ὁμοίων,ὁμοίων
Dative,ὁμοίῳ,ὁμοίᾳ,ὁμοίῳ,,ὁμοίοιν,ὁμοίαιν,ὁμοίοιν,,ὁμοίοις,ὁμοίαις,ὁμοίοις
Accusative,ὅμοιον,ὁμοίᾱν,ὅμοιον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὁμοίους,ὁμοίᾱς,ὅμοιᾰ
Vocative,ὅμοιε,ὁμοίᾱ,ὅμοιον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὅμοιοι,ὁμοῖαι,ὅμοιᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ὁμοίως,,ὁμοιότερος,,ὁμοιότᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ὁμοῖος,ὁμοίᾱ,ὁμοῖον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὁμοῖοι,ὁμοῖαι,ὁμοῖᾰ
Genitive,ὁμοίου / ὁμοιοῖο / ὁμοίοιο / ὁμοιόο / ὁμοίοο,ὁμοίᾱς,ὁμοίου / ὁμοιοῖο / ὁμοίοιο / ὁμοιόο / ὁμοίοο,,ὁμοίοιῐν,ὁμοίαι(ῐ)ν or ὁμοίῃῐν,ὁμοίοιῐν,,ὁμοίων,ὁμοίων,ὁμοίων
Dative,ὁμοίῳ,ὁμοίᾳ,ὁμοίῳ,,ὁμοίοιῐν,ὁμοίαι(ῐ)ν or ὁμοίῃῐν,ὁμοίοιῐν,,ὁμοίοισῐ / ὁμοίοις,ὁμοίῃσῐ / ὁμοίῃς / ὁμοίαις,ὁμοίοισῐ / ὁμοίοις
Accusative,ὁμοῖον,ὁμοίᾱν,ὁμοῖον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὁμοίους,ὁμοίᾱς,ὁμοῖᾰ
Vocative,ὁμοῖε,ὁμοίᾱ,ὁμοῖον,,ὁμοίω,ὁμοίᾱ,ὁμοίω,,ὁμοῖοι,ὁμοῖαι,ὁμοῖᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ὁμοίως,,ὁμοιότερος,,ὁμοιότᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
