0,1,2,3
Case / #,Singular,Dual,Plural
Nominative,ἡ ἔκστασῐς,τὼ ἐκστάσει,αἱ ἐκστάσεις
Genitive,τῆς ἐκστάσεως,τοῖν ἐκστασέοιν,τῶν ἐκστάσεων
Dative,τῇ ἐκστάσει,τοῖν ἐκστασέοιν,ταῖς ἐκστάσεσῐ(ν)
Accusative,τὴν ἔκστασῐν,τὼ ἐκστάσει,τὰς ἐκστάσεις
Vocative,ἔκστασῐ,ἐκστάσει,ἐκστάσεις
,,,
Dialectal forms:,,,
Notes:,,,
Case / #,Singular,Dual,Plural
Nominative,ἡ ἔκστασῐς,τὼ ἐκστάσιε,αἱ ἐκστάσιες
Genitive,τῆς ἐκστάσιος,τοῖν ἐκστασίοιν,τῶν ἐκστασίων
Dative,"τῇ ἐκστάσῑ, ἐκστάσει",τοῖν ἐκστασίοιν,"ταῖς ἐκστάσῐσῐ(ν), ἐκστασίεσῐ(ν), ἐκστάσεσῐ(ν)"
Accusative,τὴν ἔκστασῐν,τὼ ἐκστάσιε,"τὰς ἐκστάσῑς, ἐκστάσιᾰς"
Vocative,ἔκστασῐ,ἐκστάσιε,ἐκστάσιες
,,,
Dialectal forms:,,,
Notes:,,,
"English: ecstasy, ekstasis",,Russian: экстаз ‎(ekstáz),
