0,1
Case / #,Singular
Nominative,ὁ Βούσῑρῐς
Genitive,τοῦ Βουσίρεως
Dative,τῷ Βουσίρει
Accusative,τὸν Βούσῑρῐν
Vocative,Βούσῑρῐ
Case / #,Singular
Nominative,ὁ Βούσῑρῐς
Genitive,τοῦ Βουσίριος
Dative,"τῷ Βουσίρῑ, Βουσίρει"
Accusative,τὸν Βούσῑρῐν
Vocative,Βούσῑρῐ
