0,1,2,3,4,5,6,7,8
Number,Singular,,Dual,,Plural,,,
Case/Gender,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter
Nominative,ῥοδοδᾰ́κτῠλος,ῥοδοδᾰ́κτῠλον,,ῥοδοδᾰκτῠ́λω,ῥοδοδᾰκτῠ́λω,,ῥοδοδᾰ́κτῠλοι,ῥοδοδᾰ́κτῠλᾰ
Genitive,ῥοδοδᾰκτῠ́λου / ῥοδοδᾰκτῠλοῖο / ῥοδοδᾰκτῠ́λοιο / ῥοδοδᾰκτῠλόο / ῥοδοδᾰκτῠ́λοο,ῥοδοδᾰκτῠ́λου / ῥοδοδᾰκτῠλοῖο / ῥοδοδᾰκτῠ́λοιο / ῥοδοδᾰκτῠλόο / ῥοδοδᾰκτῠ́λοο,,ῥοδοδᾰκτῠ́λοιῐν,ῥοδοδᾰκτῠ́λοιῐν,,ῥοδοδᾰκτῠ́λων,ῥοδοδᾰκτῠ́λων
Dative,ῥοδοδᾰκτῠ́λῳ,ῥοδοδᾰκτῠ́λῳ,,ῥοδοδᾰκτῠ́λοιῐν,ῥοδοδᾰκτῠ́λοιῐν,,ῥοδοδᾰκτῠ́λοισῐ / ῥοδοδᾰκτῠ́λοις,ῥοδοδᾰκτῠ́λοισῐ / ῥοδοδᾰκτῠ́λοις
Accusative,ῥοδοδᾰ́κτῠλον,ῥοδοδᾰ́κτῠλον,,ῥοδοδᾰκτῠ́λω,ῥοδοδᾰκτῠ́λω,,ῥοδοδᾰκτῠ́λους,ῥοδοδᾰ́κτῠλᾰ
Vocative,ῥοδοδᾰ́κτῠλε,ῥοδοδᾰ́κτῠλον,,ῥοδοδᾰκτῠ́λω,ῥοδοδᾰκτῠ́λω,,ῥοδοδᾰ́κτῠλοι,ῥοδοδᾰ́κτῠλᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,
ῥοδοδᾰκτῠ́λως,,ῥοδοδᾰκτῠλώτερος,,ῥοδοδᾰκτῠλώτᾰτος,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,
