0,1,2,3,4,5,6,7,8
Number,Singular,,Dual,,Plural,,,
Case/Gender,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter
Nominative,ᾰ̓́ρσεν,ᾰ̓́ρσεν,,ᾰ̓́ρσενε,ᾰ̓́ρσενε,,ᾰ̓́ρσενες,ᾰ̓́ρσενᾰ
Genitive,ᾰ̓́ρσενος,ᾰ̓́ρσενος,,ᾰ̓ρσένοιν,ᾰ̓ρσένοιν,,ᾰ̓ρσένων,ᾰ̓ρσένων
Dative,ᾰ̓́ρσενῐ,ᾰ̓́ρσενῐ,,ᾰ̓ρσένοιν,ᾰ̓ρσένοιν,,ᾰ̓́ρσεσῐ,ᾰ̓́ρσεσῐ
Accusative,ᾰ̓́ρσενᾰ,ᾰ̓́ρσεν,,ᾰ̓́ρσενε,ᾰ̓́ρσενε,,ᾰ̓́ρσενᾰς,ᾰ̓́ρσενᾰ
Vocative,ᾰ̓́ρσεν,ᾰ̓́ρσεν,,ᾰ̓́ρσενε,ᾰ̓́ρσενε,,ᾰ̓́ρσενες,ᾰ̓́ρσενᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,
ᾰ̓ρσένως,,ᾰ̓ρσέντερος,,ᾰ̓ρσέντᾰτος,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,
ἀρρενογαμέω ‎(arrhenogaméō)  ἀρρενογονέω ‎(arrhenogonéō)  ἀρρενογονία ‎(arrhenogonía)  ἀρρενογόνος ‎(arrhenogónos)  ἀρρενοκοίτης ‎(arrhenokoítēs)  ἀρρενοκυέω ‎(arrhenokuéō)  ἀρρενομανής ‎(arrhenomanḗs)  ἀρρενομίκτης ‎(arrhenomíktēs)  ἀρρενομιξία ‎(arrhenomixía)  ἀρρενόομαι ‎(arrhenóomai)  ἀρρενόπαις ‎(arrhenópais)  ἀρρενοπίπης ‎(arrhenopípēs)  ἀρρενοποιέω ‎(arrhenopoiéō)  ἀρρενοποιός ‎(arrhenopoiós),,ἀρρενοπρεπής ‎(arrhenoprepḗs)  ἀρρενότης ‎(arrhenótēs)  ἀρρενοτοκέω ‎(arrhenotokéō)  ἀρρενοτοκία ‎(arrhenotokía)  ἀρρενοτόκιον ‎(arrhenotókion)  ἀρρενοτόκος ‎(arrhenotókos)  ἀρρενουργός ‎(arrhenourgós)  ἀρρενοφανής ‎(arrhenophanḗs)  ἀρρενοφθορία ‎(arrhenophthoría)  ἀρρενόφρωνἀρρενώδης ‎(arrhenóphrōnarrhenṓdēs)  ἀρρενωνυμέω ‎(arrhenōnuméō)  ἀρρενωπία ‎(arrhenōpía)  ἀρρενωπός ‎(arrhenōpós),,ἀρσενάκανθον ‎(arsenákanthon)  ἀρσενικόν ‎(arsenikón)  ἀρσένιον ‎(arsénion)  ἀρσένιος ‎(arsénios)  ἀρσενογενής ‎(arsenogenḗs)  ἀρσενόθηλυς ‎(arsenóthēlus)  ἀρσενόθυμος ‎(arsenóthumos)  ἀρσενόμορφος ‎(arsenómorphos)  ἀρσενοπληθής ‎(arsenoplēthḗs)  ἀρσένωμα ‎(arsénōma)  ἀρσενωπή ‎(arsenōpḗ)  εἱμάρσην ‎(heimársēn)  φυγαρσενιά ‎(phugarseniá),,,,
