0,1,2,3,4,5,6,7,8,9
Number,Singular,Dual,Plural,,,,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter
Nominative,ὅσιος,ὁσίᾱ,ὅσιον,ὁσίω,ὁσία,ὁσίω,ὅσιοι,ὅσιαι,ὅσια
Genitive,ὁσίου,ὁσίᾱς,ὁσίου,ὁσίοιν,ὁσίαιν,ὁσίοιν,ὁσίων,ὁσίων,ὁσίων
Dative,ὁσίῳ,ὁσίᾳ,ὁσίῳ,ὁσίοιν,ὁσίαιν,ὁσίοιν,ὁσίοις,ὁσίαις,ὁσίοις
Accusative,ὅσιον,ὁσίᾱν,ὅσιον,ὁσίω,ὁσία,ὁσίω,ὁσίους,ὁσίας,ὅσια
Vocative,ὅσιε,ὁσίᾱ,ὅσιον,ὁσίω,ὁσία,ὁσίω,ὅσιοι,ὅσιαι,ὅσια
,,,,,,,,,
Case / #,Singular,Dual,Plural,,,,,,
Nominative,ὁ ὅσιος,τὼ ὁσίω,οἱ ὅσιοι,,,,,,
Genitive,τοῦ ὁσίου,τοῖν ὁσίοιν,τῶν ὁσίων,,,,,,
Dative,τῷ ὁσίῳ,τοῖν ὁσίοιν,τοῖς ὁσίοις,,,,,,
Accusative,τὸν ὅσιον,τὼ ὁσίω,τοὺς ὁσίους,,,,,,
Vocative,ὅσιε,ὁσίω,ὅσιοι,,,,,,
,,,,,,,,,
Dialectal forms:,,,,,,,,,
Notes:,,,,,,,,,
