0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,τρᾱχῠ́ς,τρᾱχεῖᾰ,τρᾱχῠ́,,τρᾱχέε,τρᾱχείᾱ,τρᾱχέε,,τρᾱχεῖς / τρᾱχέες,τρᾱχεῖαι,τρᾱχέᾰ
Genitive,τρᾱχέως,τρᾱχείᾱς,τρᾱχέως,,τρᾱχέοιν,τρᾱχείαιν,τρᾱχέοιν,,τρᾱχέων,τρᾱχειῶν,τρᾱχέων
Dative,τρᾱχεῖ / τρᾱχέῐ̈,τρᾱχείᾳ,τρᾱχεῖ / τρᾶχέῐ̈,,τρᾱχέοιν,τρᾱχείαιν,τρᾱχέοιν,,τρᾱχέσῐ(ν),τρᾱχείαις,τρᾱχέσῐ(ν)
Accusative,τρᾱχῠ́ν,τρᾱχεῖᾰν,τρᾱχῠ́,,τρᾱχέε,τρᾱχείᾱ,τρᾱχέε,,τρᾱχεῖς,τρᾱχείᾱς,τρᾱχέᾰ
Vocative,τρᾱχῠ́,τρᾱχεῖᾰ,τρᾱχῠ́,,τρᾱχέε,τρᾱχείᾱ,τρᾱχέε,,τρᾱχεῖς / τρᾱχέες,τρᾱχεῖαι,τρᾱχέᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
τρᾱχέως,,τρᾱχῠ́τερος,,τρᾱχῠ́τᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,τρηχῠ́ς,τρηχεῖᾰ,τρηχῠ́,,τρηχέε,τρηχείᾱ,τρηχέε,,τρηχεῖς / τρηχέες,τρηχεῖαι,τρηχέᾰ
Genitive,τρηχέος,τρηχείᾱς,τρηχέος,,τρηχέοιῐν,τρηχείαι(ῐ)ν or τρηχείῃῐν,τρηχέοιῐν,,τρηχέων,τρηχειᾱ́ων / τρηχειέων / τρηχειῶν,τρηχέων
Dative,τρηχεῖ / τρηχέῐ̈,τρηχείᾳ,τρηχεῖ / τρῆχέῐ̈,,τρηχέοιῐν,τρηχείαι(ῐ)ν or τρηχείῃῐν,τρηχέοιῐν,,τρηχέεσσῐ / τρηχέεσῐ / τρήχεσῐ,τρηχείῃσῐ / τρηχείῃς / τρηχείαις,τρηχέεσσῐ / τρηχέεσῐ / τρήχεσῐ
Accusative,τρηχῠ́ν,τρηχεῖᾰν,τρηχῠ́,,τρηχέε,τρηχείᾱ,τρηχέε,,τρηχεῖς,τρηχείᾱς,τρηχέᾰ
Vocative,τρηχῠ́,τρηχεῖᾰ,τρηχῠ́,,τρηχέε,τρηχείᾱ,τρηχέε,,τρηχεῖς / τρηχέες,τρηχεῖαι,τρηχέᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
τρηχέως,,τρηχῠ́τερος,,τρηχῠ́τᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,τρηχῠ́ς,τρηχεῖᾰ,τρηχῠ́,,τρηχέε,τρηχείᾱ,τρηχέε,,τρηχεῖς / τρηχέες,τρηχεῖαι,τρηχέᾰ
Genitive,τρηχέος,τρηχείᾱς,τρηχέος,,τρηχέοιν,τρηχείαιν,τρηχέοιν,,τρηχέων,τρηχειέων / τρηχειῶν,τρηχέων
Dative,τρηχεῖ / τρηχέῐ̈,τρηχείᾳ,τρηχεῖ / τρῆχέῐ̈,,τρηχέοιν,τρηχείαιν,τρηχέοιν,,τρηχέσῐ(ν),τρηχείῃσῐ(ν),τρηχέσῐ(ν)
Accusative,τρηχῠ́ν,τρηχεῖᾰν,τρηχῠ́,,τρηχέε,τρηχείᾱ,τρηχέε,,τρηχεῖς,τρηχείᾱς,τρηχέᾰ
