0,1,2,3
Audio,,(file),
Singular,singular triptote in ـَة ‎(-a),,
Indefinite,Definite,Construct,
Informal,مَجْمُوعَةmajmūʿa,الْمَجْمُوعَةal-majmūʿa,مَجْمُوعَةmajmūʿat
Nominative,مَجْمُوعَةٌmajmūʿatun,الْمَجْمُوعَةُal-majmūʿatu,مَجْمُوعَةُmajmūʿatu
Accusative,مَجْمُوعَةًmajmūʿatan,الْمَجْمُوعَةَal-majmūʿata,مَجْمُوعَةَmajmūʿata
Genitive,مَجْمُوعَةٍmajmūʿatin,الْمَجْمُوعَةِal-majmūʿati,مَجْمُوعَةِmajmūʿati
Dual,Indefinite,Definite,Construct
Informal,مَجْمُوعَتَيْنmajmūʿatayn,الْمَجْمُوعَتَيْنal-majmūʿatayn,مَجْمُوعَتَيْmajmūʿatay
Nominative,مَجْمُوعَتَانِmajmūʿatāni,الْمَجْمُوعَتَانِal-majmūʿatāni,مَجْمُوعَتَاmajmūʿatā
Accusative,مَجْمُوعَتَيْنِmajmūʿatayni,الْمَجْمُوعَتَيْنِal-majmūʿatayni,مَجْمُوعَتَيْmajmūʿatay
Genitive,مَجْمُوعَتَيْنِmajmūʿatayni,الْمَجْمُوعَتَيْنِal-majmūʿatayni,مَجْمُوعَتَيْmajmūʿatay
Plural,sound feminine plural‎; basic broken plural diptote,,
Indefinite,Definite,Construct,
Informal,مَجْمُوعَات‎; مَجَامِيعmajmūʿāt‎; majāmīʿ,الْمَجْمُوعَات‎; الْمَجَامِيعal-majmūʿāt‎; al-majāmīʿ,مَجْمُوعَات‎; مَجَامِيعmajmūʿāt‎; majāmīʿ
Nominative,مَجْمُوعَاتٌ‎; مَجَامِيعُmajmūʿātun‎; majāmīʿu,الْمَجْمُوعَاتُ‎; الْمَجَامِيعُal-majmūʿātu‎; al-majāmīʿu,مَجْمُوعَاتُ‎; مَجَامِيعُmajmūʿātu‎; majāmīʿu
Accusative,مَجْمُوعَاتٍ‎; مَجَامِيعَmajmūʿātin‎; majāmīʿa,الْمَجْمُوعَاتِ‎; الْمَجَامِيعَal-majmūʿāti‎; al-majāmīʿa,مَجْمُوعَاتِ‎; مَجَامِيعَmajmūʿāti‎; majāmīʿa
Genitive,مَجْمُوعَاتٍ‎; مَجَامِيعَmajmūʿātin‎; majāmīʿa,الْمَجْمُوعَاتِ‎; الْمَجَامِيعِal-majmūʿāti‎; al-majāmīʿi,مَجْمُوعَاتِ‎; مَجَامِيعِmajmūʿāti‎; majāmīʿi
