0,1,2,3,4,5,6,7,8,9
f,صَدَرْتِṣadarti,صَدَرَتْṣadarat,صَدَرَتَاṣadaratā,صَدَرْتُنَّṣadartunna,صَدَرْنَṣadarna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أَصْدُرُʾaṣduru,تَصْدُرُtaṣduru,يَصْدُرُyaṣduru,تَصْدُرَانِtaṣdurāni,يَصْدُرَانِyaṣdurāni,نَصْدُرُnaṣduru,تَصْدُرُونَtaṣdurūna,يَصْدُرُونَyaṣdurūna
f,تَصْدُرِينَtaṣdurīna,تَصْدُرُtaṣduru,تَصْدُرَانِtaṣdurāni,تَصْدُرْنَtaṣdurna,يَصْدُرْنَyaṣdurna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أَصْدُرَʾaṣdura,تَصْدُرَtaṣdura,يَصْدُرَyaṣdura,تَصْدُرَاtaṣdurā,يَصْدُرَاyaṣdurā,نَصْدُرَnaṣdura,تَصْدُرُوtaṣdurū,يَصْدُرُوyaṣdurū
f,تَصْدُرِيtaṣdurī,تَصْدُرَtaṣdura,تَصْدُرَاtaṣdurā,تَصْدُرْنَtaṣdurna,يَصْدُرْنَyaṣdurna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أَصْدُرْʾaṣdur,تَصْدُرْtaṣdur,يَصْدُرْyaṣdur,تَصْدُرَاtaṣdurā,يَصْدُرَاyaṣdurā,نَصْدُرْnaṣdur,تَصْدُرُوtaṣdurū,يَصْدُرُوyaṣdurū
f,تَصْدُرِيtaṣdurī,تَصْدُرْtaṣdur,تَصْدُرَاtaṣdurā,تَصْدُرْنَtaṣdurna,يَصْدُرْنَyaṣdurna,,,,
imperativeالْأَمْر,m,,اُصْدُرْuṣdur,,اُصْدُرَاuṣdurā,,,اُصْدُرُوuṣdurū,
f,اُصْدُرِيuṣdurī,اُصْدُرْنَuṣdurna,,,,,,,
passive voiceالْفِعْل الْمَجْهُول,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,صُدِرْتُṣudirtu,صُدِرْتَṣudirta,صُدِرَṣudira,صُدِرْتُمَاṣudirtumā,صُدِرَاṣudirā,صُدِرْنَاṣudirnā,صُدِرْتُمْṣudirtum,صُدِرُواṣudirū
f,صُدِرْتِṣudirti,صُدِرَتْṣudirat,صُدِرَتَاṣudiratā,صُدِرْتُنَّṣudirtunna,صُدِرْنَṣudirna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُصْدَرُʾuṣdaru,تُصْدَرُtuṣdaru,يُصْدَرُyuṣdaru,تُصْدَرَانِtuṣdarāni,يُصْدَرَانِyuṣdarāni,نُصْدَرُnuṣdaru,تُصْدَرُونَtuṣdarūna,يُصْدَرُونَyuṣdarūna
f,تُصْدَرِينَtuṣdarīna,تُصْدَرُtuṣdaru,تُصْدَرَانِtuṣdarāni,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
subjunctiveالْمُضَارِع الْمَنْصُوب,m,أُصْدَرَʾuṣdara,تُصْدَرَtuṣdara,يُصْدَرَyuṣdara,تُصْدَرَاtuṣdarā,يُصْدَرَاyuṣdarā,نُصْدَرَnuṣdara,تُصْدَرُوtuṣdarū,يُصْدَرُوyuṣdarū
f,تُصْدَرِيtuṣdarī,تُصْدَرَtuṣdara,تُصْدَرَاtuṣdarā,تُصْدَرْنَtuṣdarna,يُصْدَرْنَyuṣdarna,,,,
jussiveالْمُضَارِع الْمَجْزُوم,m,أُصْدَرْʾuṣdar,تُصْدَرْtuṣdar,يُصْدَرْyuṣdar,تُصْدَرَاtuṣdarā,يُصْدَرَاyuṣdarā,نُصْدَرْnuṣdar,تُصْدَرُوtuṣdarū,يُصْدَرُوyuṣdarū
