0,1,2,3,4,5,6
Number,Isolated forms,With possessive pronouns,,,,
State,Form,Person,singular,plural,,
m.,f.,m.,f.,,,
singular,indefinite,פִּיצָה,first,פִּיצָתִי,פִּיצָתֵנוּ,
definite,הַפִּיצָה,second,פִּיצָתְךָ,פִּיצָתֵךְ,פִּיצַתְכֶם,פִּיצַתְכֶן
construct,פִּיצַת־,third,פִּיצָתוֹ,פִּיצָתָהּ,פִּיצָתָם,פִּיצָתָן
plural,indefinite,פִּיצוֹת,first,פיצותיי \ פִּיצוֹתַי,פִּיצוֹתֵינוּ,
definite,הַפִּיצוֹת,second,פִּיצוֹתֶיךָ,פיצותייך \ פִּיצוֹתַיִךְ,פִּיצוֹתֵיכֶם,פִּיצוֹתֵיכֶן
construct,פִּיצוֹת־,third,פִּיצוֹתָיו,פִּיצוֹתֶיהָ,פִּיצוֹתֵיהֶם,פִּיצוֹתֵיהֶן
non-finite forms,to-infinitive: לְפַצּוֹת,,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,,
past,first person,פיציתי \ פִּצִּיתִי,פיצינו \ פִּצִּינוּ,,,
second person,פיצית \ פִּצִּיתָ,פיצית \ פִּצִּית,פיציתם \ פִּצִּיתֶם,פיציתן \ פִּצִּיתֶן 1,,
third person,פיצה \ פִּצָּה,פיצתה \ פִּצְּתָה,פיצו \ פִּצּוּ,,,
present,all persons,מְפַצֶּה,מְפַצָּה,מְפַצִּים,מְפַצּוֹת,
future,first person,אֲפַצֶּה,נְפַצֶּה,,,
second person,תְּפַצֶּה,תְּפַצִּי,תְּפַצּוּ,תְּפַצֶּינָה 2,,
third person,יְפַצֶּה,תְּפַצֶּה,יְפַצּוּ,תְּפַצֶּינָה 2,,
imperative,second person,פַּצֵּה,פַּצִּי,פַּצּוּ,פַּצֶּינָה 2,
notes,"Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,,
