0,1,2,3,4,5
non-finite forms,to-infinitive: לתרום \ לִתְרֹם,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,תָּרַמְתִּי,תָּרַמְנוּ,,
second person,תָּרַמְתָּ,תָּרַמְתְּ,תְּרַמְתֶּם 1,"תְּרַמְתֶּן 1, 2",
third person,תָּרַם,תָּרְמָה,תָּרְמוּ,,
present,all persons,תּוֹרֵם,תּוֹרֶמֶת,תּוֹרְמִים,תּוֹרְמוֹת
future,first person,אתרום \ אֶתְרֹם,נתרום \ נִתְרֹם,,
second person,תתרום \ תִּתְרֹם,תִּתְרְמִי,תִּתְרְמוּ,תתרומנה \ תִּתְרֹמְנָה 3,
third person,יתרום \ יִתְרֹם,תתרום \ תִּתְרֹם,יִתְרְמוּ,תתרומנה \ תִּתְרֹמְנָה 3,
imperative,second person,תרום \ תְּרֹם,תִּרְמִי,תִּרְמוּ,תרומנה \ תְּרֹמְנָה 3
notes,"Pronounced תָּרַמְתֶּם/ן in modern informal Hebrew  Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
