0,1,2,3,4,5
Root,,,,,
שׁ־כ־ן,,,,,
non-finite forms,to-infinitive: לשכון \ לִשְׁכֹּן,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,שָׁכַנְתִּי,שָׁכַנּוּ,,
second person,שָׁכַנְתָּ,שָׁכַנְתְּ,שְׁכַנְתֶּם 1,"שְׁכַנְתֶּן 1, 2",
third person,שָׁכַן,שָׁכְנָה,שָׁכְנוּ,,
present,all persons,שׁוֹכֵן,שׁוֹכֶנֶת,שׁוֹכְנִים,שׁוֹכְנוֹת
future,first person,אשכון \ אֶשְׁכֹּן,נשכון \ נִשְׁכֹּן,,
second person,תשכון \ תִּשְׁכֹּן,תִּשְׁכְּנִי,תִּשְׁכְּנוּ,תשכונה \ תִּשְׁכֹּנָּה 3,
third person,ישכון \ יִשְׁכֹּן,תשכון \ תִּשְׁכֹּן,יִשְׁכְּנוּ,תשכונה \ תִּשְׁכֹּנָּה 3,
imperative,second person,שכון \ שְׁכֹן,שִׁכְנִי,שִׁכְנוּ,שכונה \ שְׁכֹנָּה 3
notes,"Pronounced שָׁכַנְתֶּם/ן in modern informal Hebrew  Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
