0,1,2
case,singular,plural
indefinite,хэуӏэнэ (xăwʾănă),хэуӏэнэхэ (xăwʾănăxă)
nominative,хэуӏэнэр (xăwʾănăr),хэуӏэнэхэр (xăwʾănăxăr)
ergative,хэуӏэнэм (xăwʾănăm),хэуӏэнэхэмэ (xăwʾănăxămă)
instrumental,хэуӏэнэ(м)кӏэ (xăwʾănă(m)č̣̍ă),хэуӏэнэхэ(м)кӏэ (xăwʾănăxă(m)č̣̍ă)
invertive,хэуӏэныу (xăwʾănəw),хэуӏэнэхыу (xăwʾănăxəw)
