0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NO  N  NE  O  E  SO  S  SE,NO,N,NE,O,,E,SO,S,SE,n-occ  sept  n-or  occ  or  s-occ  mer  s-or,n-occ,sept,n-or,occ,,or,s-occ,mer,s-or
NO,N,NE,,,,,,,,,,,,,,,,,
O,,E,,,,,,,,,,,,,,,,,
SO,S,SE,,,,,,,,,,,,,,,,,
n-occ,sept,n-or,,,,,,,,,,,,,,,,,
occ,,or,,,,,,,,,,,,,,,,,
s-occ,mer,s-or,,,,,,,,,,,,,,,,,
NO,N,NE,,,,,,,,,,,,,,,,,
O,,E,,,,,,,,,,,,,,,,,
SO,S,SE,,,,,,,,,,,,,,,,,
n-occ,sept,n-or,,,,,,,,,,,,,,,,,
occ,,or,,,,,,,,,,,,,,,,,
s-occ,mer,s-or,,,,,,,,,,,,,,,,,
