0,1,2
central telefònica,,central telegràfica
central elèctrica  central eòlica  central fotovoltaica  central geotèrmica  central heliotèrmica or central heliotermodinàmica  central hidràulica or central hidroelèctrica,,central hidrotèrmica  central mareomotriu  central nuclear  central solar  central tèrmica or central termoelèctrica
