0,1,2,3,4,5,6,7,8
,singular,plural,,,,,,
nominative,N;NOM;SG,N;NOM;PL,,,,,,
accusative,N;ACC;SG,N;ACC;PL,,,,,,
dative,N;DAT;SG,N;DAT;PL,,,,,,
genitive,N;GEN;SG,N;GEN;PL,,,,,,
locative,N;ESS;SG,N;ESS;PL,,,,,,
terminative,N;TERM;SG,N;TERM;PL,,,,,,
ablative,N;ABL;SG,N;ABL;PL,,,,,,
instrumental,N;INS;SG,N;INS;PL,,,,,,
comitative,N;COM;SG,N;COM;PL,,,,,,
abessive,N;PRIV;SG,N;PRIV;PL,,,,,,
comparative,N;COMPV;SG,N;COMPV;PL,,,,,,
causative,N;CAUSV;SG,N;CAUSV;PL,,,,,,
benefactive,N;BEN;SG,N;BEN;PL,,,,,,
associative,N;INTER;SG,N;INTER;PL,,,,,,
distributive,N;DISTR;SG,N;DISTR;PL,,,,,,
exclusive,N;EXCLV;SG,N;EXCLV;PL,,,,,,
ñuqap (my),singular,plural,,,,,,
nominative,N;PSS1S;NOM;SG,N;PSS1S;NOM;PL,,,,,,
accusative,N;PSS1S;ACC;SG,N;PSS1S;ACC;PL,,,,,,
dative,N;PSS1S;DAT;SG,N;PSS1S;DAT;PL,,,,,,
genitive,N;PSS1S;GEN;PSS1S;SG,N;PSS1S;GEN;PSS1S;PL,,,,,,
locative,N;PSS1S;ESS;SG,N;PSS1S;ESS;PL,,,,,,
terminative,N;PSS1S;TERM;SG,N;PSS1S;TERM;PL,,,,,,
ablative,N;PSS1S;ABL;SG,N;PSS1S;ABL;PL,,,,,,
instrumental,N;PSS1S;INS;SG,N;PSS1S;INS;PL,,,,,,
comitative,N;PSS1S;COM;SG,N;PSS1S;COM;PL,,,,,,
abessive,N;PSS1S;PRIV;SG,N;PSS1S;PRIV;PL,,,,,,
comparative,N;PSS1S;COMPV;SG,N;PSS1S;COMPV;PL,,,,,,
causative,N;PSS1S;CAUSV;SG,N;PSS1S;CAUSV;PL,,,,,,
benefactive,N;PSS1S;BEN;PSS1S;SG,N;PSS1S;BEN;PSS1S;PL,,,,,,
associative,N;PSS1S;INTER;SG,N;PSS1S;INTER;PL,,,,,,
distributive,N;PSS1S;DISTR;SG,N;PSS1S;DISTR;PL,,,,,,
exclusive,N;PSS1S;EXCLV;SG,N;PSS1S;EXCLV;PL,,,,,,
qampa (your),singular,plural
nominative,N;PSS2S;NOM;SG,N;PSS2S;NOM;PL,,,,,,
accusative,N;PSS2S;ACC;SG,N;PSS2S;ACC;PL,,,,,,
dative,N;PSS2S;DAT;SG,N;PSS2S;DAT;PL,,,,,,
genitive,N;PSS2S;GEN;PSS2S;SG,N;PSS2S;GEN;PSS2S;PL,,,,,,
locative,N;PSS2S;ESS;SG,N;PSS2S;ESS;PL,,,,,,
terminative,N;PSS2S;TERM;SG,N;PSS2S;TERM;PL,,,,,,
ablative,N;PSS2S;ABL;SG,N;PSS2S;ABL;PL,,,,,,
instrumental,N;PSS2S;INS;SG,N;PSS2S;INS;PL,,,,,,
comitative,N;PSS2S;COM;SG,N;PSS2S;COM;PL,,,,,,
abessive,N;PSS2S;PRIV;SG,N;PSS2S;PRIV;PL,,,,,,
comparative,N;PSS2S;COMPV;SG,N;PSS2S;COMPV;PL,,,,,,
causative,N;PSS2S;CAUSV;SG,N;PSS2S;CAUSV;PL,,,,,,
benefactive,N;PSS2S;BEN;PSS2S;SG,N;PSS2S;BEN;PSS2S;PL,,,,,,
associative,N;PSS2S;INTER;SG,N;PSS2S;INTER;PL,,,,,,
