0,1
,singular (uncountable)
nominative,օծեալ ‎(ōceal)
genitive,օծելոյ ‎(ōceloy)
dative,օծելոյ ‎(ōceloy)
accusative,օծեալ ‎(ōceal)
ablative,օծելոյ ‎(ōceloy)
instrumental,օծելով ‎(ōcelov)
locative,օծեալ ‎(ōceal)
