0,1,2,3,4,5,6,7,8,9,10
Picture dictionary,,,,,,,,,,
,,,,,,,,,,
A=galva B=krūtis C=vēders,A=galva B=krūtis C=vēders,,,,,,,,,
A=galva B=krūtis C=vēders,,,,,,,,,,
dzīvnieks  organisms,dzīvnieks  organisms,dzīvnieks,organisms,,,,,,,
dzīvnieks  organisms,dzīvnieks,organisms,,,,,,,,
dzīvnieks,,,,,,,,,,
organisms,,,,,,,,,,
skudra  bite  vabole  tauriņš  spāre  muša  zirneklis  termīts  lapsene,skudra  bite  vabole  tauriņš  spāre  muša  zirneklis  termīts  lapsene,skudra,bite,vabole,tauriņš,spāre,muša,zirneklis,termīts,lapsene
skudra  bite  vabole  tauriņš  spāre  muša  zirneklis  termīts  lapsene,skudra,bite,vabole,tauriņš,spāre,muša,zirneklis,termīts,lapsene,
skudra,,,,,,,,,,
bite,,,,,,,,,,
vabole,,,,,,,,,,
tauriņš,,,,,,,,,,
spāre,,,,,,,,,,
muša,,,,,,,,,,
zirneklis,,,,,,,,,,
termīts,,,,,,,,,,
lapsene,,,,,,,,,,
A=galva B=krūtis C=vēders,,,,,,,,,,
dzīvnieks  organisms,dzīvnieks,organisms,,,,,,,,
dzīvnieks,,,,,,,,,,
organisms,,,,,,,,,,
dzīvnieks,,,,,,,,,,
organisms,,,,,,,,,,
skudra  bite  vabole  tauriņš  spāre  muša  zirneklis  termīts  lapsene,skudra,bite,vabole,tauriņš,spāre,muša,zirneklis,termīts,lapsene,
skudra,,,,,,,,,,
bite,,,,,,,,,,
vabole,,,,,,,,,,
tauriņš,,,,,,,,,,
spāre,,,,,,,,,,
muša,,,,,,,,,,
zirneklis,,,,,,,,,,
termīts,,,,,,,,,,
lapsene,,,,,,,,,,
skudra,,,,,,,,,,
bite,,,,,,,,,,
vabole,,,,,,,,,,
tauriņš,,,,,,,,,,
spāre,,,,,,,,,,
muša,,,,,,,,,,
zirneklis,,,,,,,,,,
termīts,,,,,,,,,,
lapsene,,,,,,,,,,
,,(file),,,,,,,,
,singular (vienskaitlis),plural (daudzskaitlis),,,,,,,,
nominative (nominatīvs),kukainis,kukaiņi,,,,,,,,
accusative (akuzatīvs),kukaini,kukaiņus,,,,,,,,
genitive (ģenitīvs),kukaiņa,kukaiņu,,,,,,,,
dative (datīvs),kukainim,kukaiņiem,,,,,,,,
instrumental (instrumentālis),kukaini,kukaiņiem,,,,,,,,
locative (lokatīvs),kukainī,kukaiņos,,,,,,,,
vocative (vokatīvs),kukaini,kukaiņi,,,,,,,,
