0,1,2,3,4,5,6
,,(file),,,,
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,,
,,Present(tagadne),Past(pagātne),Future(nākotne),,
1st pers. sg.,es,dzīvoju,dzīvoju,dzīvošu,—,
2nd pers. sg.,tu,dzīvo,dzīvoji,dzīvosi,dzīvo,
3rd pers. sg.,"viņš, viņa",dzīvo,dzīvoja,dzīvos,lai dzīvo,
1st pers. pl.,mēs,dzīvojam,dzīvojām,dzīvosim,dzīvosim,
2nd pers. pl.,jūs,dzīvojat,dzīvojāt,"dzīvosiet,dzīvosit",dzīvojiet,
3rd pers. pl.,"viņi, viņas",dzīvo,dzīvoja,dzīvos,lai dzīvo,
,,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,,
Present,dzīvojot,Present Active 1 (Adj.),dzīvojošs,,,
Past,esot dzīvojis,Present Active 2 (Adv.),dzīvodams,,,
Future,dzīvošot,Present Active 3 (Adv.),dzīvojot,,,
Imperative,lai dzīvojot,Present Active 4 (Obj.),dzīvojam,,,
CONDITIONAL (vēlējuma izteiksme),Past Active,dzīvojis,,,,
Present,dzīvotu,Present Passive,dzīvojams,,,
Past,būtu dzīvojis,Past Passive,dzīvots,,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,,
Indicative,(būt) jādzīvo,Infinitive (nenoteiksme),dzīvot,,,
Conjunctive 1,esot jādzīvo,Negative Infinitive,nedzīvot,,,
Conjunctive 2,jādzīvojot,Verbal noun,dzīvošana,,,
aizdzīvot  apdzīvot  iedzīvot,,izdzīvot  nodzīvot  padzīvot,,pārdzīvot  piedzīvot,,sadzīvot  uzdzīvot
