0,1,2,3,4,5,6,7,8,9,10
,0.0,1  >,,,,,,,,
Cardinal : nulle,,,,,,,,,,
Latvian Wikipedia article on nulle,,,,,,,,,,
,singular (vienskaitlis),plural (daudzskaitlis),,,,,,,,
nominative (nominatīvs),nulle,nulles,,,,,,,,
accusative (akuzatīvs),nulli,nulles,,,,,,,,
genitive (ģenitīvs),nulles,nuļļu,,,,,,,,
dative (datīvs),nullei,nullēm,,,,,,,,
instrumental (instrumentālis),nulli,nullēm,,,,,,,,
locative (lokatīvs),nullē,nullēs,,,,,,,,
vocative (vokatīvs),nulle,nulles,,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,nulle,viens,divi,trīs,četri,pieci,seši,septiņi,astoņi,deviņi
1—,desmit,vienpadsmit,divpadsmit,trīspadsmit,četrpadsmit,piecpadsmit,sešpadsmit,septiņdesmit,astoņpadsmit,deviņpadsmit
,,,,,,,,,,
