0,1,2,3,4,5
,,(file),,,
,,(file),,,
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,
,,Present(tagadne),Past(pagātne),Future(nākotne),
1st pers. sg.,es,gaistu,gaisu,gaisīšu,—
2nd pers. sg.,tu,gaisti,gaisi,gaisīsi,gaisti
3rd pers. sg.,"viņš, viņa",gaist,gaisa,gaisīs,lai gaist
1st pers. pl.,mēs,gaistam,gaisām,gaisīsim,gaisīsim
2nd pers. pl.,jūs,gaistat,gaisāt,"gaisīsiet,gaisīsit",gaistiet
3rd pers. pl.,"viņi, viņas",gaist,gaisa,gaisīs,lai gaist
,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,
Present,gaistot,Present Active 1 (Adj.),gaistošs,,
Past,esot gaisis,Present Active 2 (Adv.),gaisdams,,
Future,gaisīšot,Present Active 3 (Adv.),gaistot,,
Imperative,lai gaistot,Present Active 4 (Obj.),gaistam,,
CONDITIONAL (vēlējuma izteiksme),Past Active,gaisis,,,
Present,gaistu,Present Passive,—,,
Past,būtu gaisis,Past Passive,—,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,
Indicative,(būt) jāgaist,Infinitive (nenoteiksme),gaist,,
Conjunctive 1,esot jāgaist,Negative Infinitive,negaist,,
Conjunctive 2,jāgaistot,Verbal noun,gaišana,,
