0,1,2,3,4,5,6,7,8,9,10
present verbal participle,ಹೋಗುತ್ತ ‎(hōgutta)ಹೋಗುತ್ತಾ ‎(hōguttā),past verbal participle,ಹೋಗಿ ‎(hōgi),negative verbal participle,ಹೋಗದೆ ‎(hōgade),infinitive,ಹೋಗಲ್ ‎(hōgal),conditional form,ಹೋದರೆ ‎(hōdare),
present-future relative participle,ಹೋಗುವ ‎(hōguva),past relative participle,ಹೋದ ‎(hōda),negative relative participle,ಹೋಗದ ‎(hōgada),dative infinitive,ಹೋಗಲಿಕ್ಕೆ ‎(hōgalikke),optative form,ಹೋಗಲಿ ‎(hōgali),
person,singular,plural,,,,,,,,
first,second,third masculine,third feminine,third neuter,first,second,third epicene,third neuter,,
affirmative,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
present,ಹೋಗುತ್ತೇನೆ ‎(hōguttēne),ಹೋಗುತ್ತೀ ‎(hōguttī),ಹೋಗುತ್ತಾನೆ ‎(hōguttāne),ಹೋಗುತ್ತಾಳೆ ‎(hōguttāḷe),ಹೋಗುತ್ತದೆ ‎(hōguttade),ಹೋಗುತ್ತೇವೆ ‎(hōguttēve),ಹೋಗುತ್ತೀರಿ ‎(hōguttīri),ಹೋಗುತ್ತಾರೆ ‎(hōguttāre),ಹೋಗುತ್ತವೆ ‎(hōguttave),
past,ಹೋದೆನು ‎(hōdenu),ಹೋದೆ ‎(hōde),ಹೋದನು ‎(hōdanu),ಹೋದಳು ‎(hōdaḷu),ಹೋಯಿತು ‎(hōyitu),ಹೋದೆವು ‎(hōdevu),ಹೋದಿರಿ ‎(hōdiri),ಹೋದರು ‎(hōdaru),ಹೋದುವು ‎(hōduvu),
future,ಹೋಗುವೆನು ‎(hōguvenu),ಹೋಗುವಿ ‎(hōguvi),ಹೋಗುವನು ‎(hōguvanu),ಹೋಗುವಳು ‎(hōguvaḷu),ಹೋಗುವುದು ‎(hōguvudu),ಹೋಗುವೆವು ‎(hōguvevu),ಹೋಗುವಿರಿ ‎(hōguviri),ಹೋಗುವರು ‎(hōguvaru),ಹೋಗುವುವು ‎(hōguvuvu),
negative,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
tenseless,ಹೋಗೆನು ‎(hōgenu),ಹೋಗೆ ‎(hōge),ಹೋಗನು ‎(hōganu),ಹೋಗಳು ‎(hōgaḷu),ಹೋಗದು ‎(hōgadu),ಹೋಗೆವು ‎(hōgevu),ಹೋಗರಿ ‎(hōgari),ಹೋಗರು ‎(hōgaru),ಹೋಗವು ‎(hōgavu),
contingent,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
future,ಹೋಗಿಯೇನು ‎(hōgiyēnu),ಹೋಗೀಯೆ ‎(hōgīye),ಹೋಗಿಯಾನು ‎(hōgiyānu),ಹೋಗಿಯಾಳು ‎(hōgiyāḷu),ಹೋಗೀತು ‎(hōgītu),ಹೋಗಿಯೇವು ‎(hōgiyēvu),ಹೋಗೀರಿ ‎(hōgīri),ಹೋಗಿಯಾರು ‎(hōgiyāru),ಹೋಗಿಯಾವು ‎(hōgiyāvu),
imperative,ನಾನು,ನೀನು,——,——,——,ನಾವು,ನೀವು,——,——,
ಹೋಗುವೆ ‎(hōguve),ಹೋಗು ‎(hōgu),,,,ಹೋಗುವಾ ‎(hōguvā)ಹೋಗೋಣ ‎(hōgōṇa),ಹೋಗಿರಿ ‎(hōgiri),,,,
