0,1,2,3,4,5,6,7,8,9,10
present verbal participle,ನಡೆಯುತ್ತ ‎(naḍeyutta)ನಡೆಯುತ್ತಾ ‎(naḍeyuttā),past verbal participle,ನಡೆದು ‎(naḍedu),negative verbal participle,ನಡೆಯದೆ ‎(naḍeyade),infinitive,ನಡೆಯಲು ‎(naḍeyalu),conditional form,ನಡೆದರೆ ‎(naḍedare),
present-future relative participle,ನಡೆಯುವ ‎(naḍeyuva),past relative participle,ನಡೆದ ‎(naḍeda),negative relative participle,ನಡೆಯದ ‎(naḍeyada),dative infinitive,ನಡೆಯಲಿಕ್ಕೆ ‎(naḍeyalikke),optative form,ನಡೆಯಲಿ ‎(naḍeyali),
person,singular,plural,,,,,,,,
first,second,third masculine,third feminine,third neuter,first,second,third epicene,third neuter,,
affirmative,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
present,ನಡೆಯುತ್ತೇನೆ ‎(naḍeyuttēne),ನಡೆಯುತ್ತೀಯೆ ‎(naḍeyuttīye)ನಡೆಯುತ್ತೀ ‎(naḍeyuttī),ನಡೆಯುತ್ತಾನೆ ‎(naḍeyuttāne),ನಡೆಯುತ್ತಾಳೆ ‎(naḍeyuttāḷe),ನಡೆಯುತ್ತದೆ ‎(naḍeyuttade),ನಡೆಯುತ್ತೇವೆ ‎(naḍeyuttēve),ನಡೆಯುತ್ತೀರಿ ‎(naḍeyuttīri),ನಡೆಯುತ್ತಾರೆ ‎(naḍeyuttāre),ನಡೆಯುತ್ತವೆ ‎(naḍeyuttave),
past,ನಡೆದೆನು ‎(naḍedenu)ನಡೆದೆ ‎(naḍede),ನಡೆದೆ ‎(naḍede)ನಡೆದಿ ‎(naḍedi),ನಡೆದನು ‎(naḍedanu)ನಡೆದ ‎(naḍeda),ನಡೆದಳು ‎(naḍedaḷu),ನಡೆಯಿತು ‎(naḍeyitu),ನಡೆದೆವು ‎(naḍedevu),ನಡೆದಿರಿ ‎(naḍediri),ನಡೆದರು ‎(naḍedaru),ನಡೆದುವು ‎(naḍeduvu),
future,ನಡೆಯುವೆನು ‎(naḍeyuvenu)ನಡೆಯುವೆ ‎(naḍeyuve),ನಡೆಯುವೆ ‎(naḍeyuve)ನಡೆಯುವಿ ‎(naḍeyuvi),ನಡೆಯುವನು ‎(naḍeyuvanu)ನಡೆಯುವ ‎(naḍeyuva),ನಡೆಯುವಳು ‎(naḍeyuvaḷu),ನಡೆಯುವುದು ‎(naḍeyuvudu),ನಡೆಯುವೆವು ‎(naḍeyuvevu),ನಡೆಯುವಿರಿ ‎(naḍeyuviri),ನಡೆಯುವರು ‎(naḍeyuvaru),ನಡೆಯುವುವು ‎(naḍeyuvuvu),
negative,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
tenseless,ನಡೆಯೆನು ‎(naḍeyenu)ನಡೆಯೆ ‎(naḍeye),ನಡೆಯೆ ‎(naḍeye),ನಡೆಯನು ‎(naḍeyanu)ನಡೆಯ ‎(naḍeya),ನಡೆಯಳು ‎(naḍeyaḷu),ನಡೆಯದು ‎(naḍeyadu),ನಡೆಯೆವು ‎(naḍeyevu),ನಡೆಯರಿ ‎(naḍeyari),ನಡೆಯರು ‎(naḍeyaru),ನಡೆಯವು ‎(naḍeyavu),
contingent,,ನಾನು,ನೀನು,ಅವನು,ಅವಳು,ಅದು,ನಾವು,ನೀವು,ಅವರು,ಅವು
future,ನಡೆಯಿಯೇನು ‎(naḍeyiyēnu),ನಡೆಯೀಯೆ ‎(naḍeyīye),ನಡೆಯಿಯಾನು ‎(naḍeyiyānu),ನಡೆಯಿಯಾಳು ‎(naḍeyiyāḷu),ನಡೆಯೀತು ‎(naḍeyītu),ನಡೆಯಿಯೇವು ‎(naḍeyiyēvu),ನಡೆಯೀರಿ ‎(naḍeyīri),ನಡೆಯಿಯಾರು ‎(naḍeyiyāru),ನಡೆಯಿಯಾವು ‎(naḍeyiyāvu),
imperative,ನಾನು,ನೀನು,——,——,——,ನಾವು,ನೀವು,——,——,
ನಡೆಯುವೆ ‎(naḍeyuve),ನಡೆಯು ‎(naḍeyu),,,,ನಡೆಯುವಾ ‎(naḍeyuvā)ನಡೆಯೋಣ ‎(naḍeyōṇa),ನಡೆಯಿರಿ ‎(naḍeyiri),,,,
