0,1,2
,singular,duoplural
1st person,shił,nihił
2nd person,nił,nihił
3rd person,bił,
4th person (3o),yił,
4th person (3a),hił,
4th person (3i),ił,—
reflexive,ádił,—
reciprocal,—,ahił
Audio (NV),,(file)
