0,1
IMPERFECTIVE,singular
1st person,yishyeed
2nd person,nilyeed
3rd person,yilyeed
4th person,jilyeed
PERFECTIVE,singular
1st person,yishwod
2nd person,yínílwod
3rd person,yilwod
4th person,joolwod
FUTURE,singular
1st person,deeshwoł
2nd person,díílwoł
3rd person,doolwoł
4th person,jidoolwoł
