0,1,2
Inflection of grabbelen (weak),,
infinitive,grabbelen,
past singular,grabbelde,
past participle,gegrabbeld,
infinitive,grabbelen,
gerund,grabbelen n,
verbal noun,—,
,present tense,past tense
1st person singular,grabbel,grabbelde
2nd person sing. (jij),grabbelt,grabbelde
2nd person sing. (u),grabbelt,grabbelde
2nd person sing. (gij),grabbelt,grabbelde
3rd person singular,grabbelt,grabbelde
plural,grabbelen,grabbelden
,,
subjunctive sing.1,grabbele,grabbelde
subjunctive plur.1,grabbelen,grabbelden
,,
imperative sing.,grabbel,
imperative plur.1,grabbelt,
,,
participles,grabbelend,gegrabbeld
1) Archaic.,,
