0,1,2,3,4,5,6,7
participle (pjesorja),vazhduar,,,,,,
gerund — present(përcjellorja — koha e tashme),duke vazhduar,,,,,,
gerund — past(përcjellorja — koha e kryer),duke pasë vazhduar,,,,,,
infinitive (paskajorja),për të vazhduar,,,,,,
,singular (numri njëjës),plural (numri shumës),,,,,
,1st person (veta e parë),2nd person (veta e dytë),3rd person (veta e tretë),1st person (veta e parë),2nd person (veta e dytë),3rd person (veta e tretë),
indicative (mënyra dëftore),,unë,ti,ai/ajo,ne,ju,ata/ato
present (koha e tashme),vazhdoj,vazhdon,vazhdon,vazhdojmë,vazhdoni,vazhdojnë,
imperfect (koha e pakryer),vazhdoja,vazhdoje,vazhdonte,vazhdonim,vazhdonit,vazhdonin,
simple past (koha e kryer e thjeshtë),vazhdova,vazhdove,vazhdoi,vazhduam,vazhduat,vazhduan,
perfect (koha e kryer),kam vazhduar,ke vazhduar,ka vazhduar,kemi vazhduar,keni vazhduar,kanë vazhduar,
pluperfect (koha e kryer e tejshkuar),pata vazhduar,pate vazhduar,pati vazhduar,patëm vazhduar,patët vazhduar,patën vazhduar,
future (koha e ardhme),do të vazhdoj,do të vazhdosh,do të vazhdojë,do të vazhdojmë,do të vazhdoni,do të vazhdojnë,
future perfect (koha e ardhme e përparme),do të kem vazhduar,do të kesh vazhduar,do të ketë vazhduar,do të kemi vazhduar,do të keni vazhduar,do të kenë vazhduar,
,,,,,,,
subjunctive (mënyra lidhore),,unë,ti,ai/ajo,ne,ju,ata/ato
present (koha e tashme),të vazhdoj,të vazhdosh,të vazhdojë,të vazhdojmë,të vazhdoni,të vazhdojnë,
past (koha e pakryer),të vazhdoja,të vazhdoje,të vazhdonte,të vazhdonim,të vazhdonit,të vazhdonin,
perfect (koha e kryer),të kem vazhduar,të kesh vazhduar,të ketë vazhduar,të kemi vazhduar,të keni vazhduar,të kenë vazhduar,
pluperfect (koha e kryer e tejshkuar),të kisha vazhduar,të kishe vazhduar,të kishte vazhduar,të kishim vazhduar,të kishit vazhduar,të kishin vazhduar,
,,,,,,,
conditional (mënyra kushtore),,unë,ti,ai/ajo,ne,ju,ata/ato
present (koha e tashme),do të vazhdoja,do të vazhdoje,do të vazhdonte,do të vazhdonim,do të vazhdonit,do të vazhdonin,
perfect (koha e kryer),do të kisha vazhduar,do të kishe vazhduar,do të kishte vazhduar,do të kishim vazhduar,do të kishit vazhduar,do të kishin vazhduar,
,,,,,,,
optative (mënyra dëshirore),,unë,ti,ai/ajo,ne,ju,ata/ato
present (koha e tashme),vazhdofsha,vazhdofsh,vazhdoftë,vazhdofshim,vazhdofshit,vazhdofshin,
perfect (koha e kryer),paça vazhduar,paç vazhduar,pastë vazhduar,paçim vazhduar,paçit vazhduar,paçin vazhduar,
,,,,,,,
admirative (mënyra habitore),,unë,ti,ai/ajo,ne,ju,ata/ato
present (koha e tashme),vazhduakam,vazhduake,vazhduaka,vazhduakemi,vazhduakeni,vazhduakan,
imperfect (koha e pakryer),vazhduakësha,vazhduakëshe,vazhduakësh,vazhduakëshim,vazhduakëshit,vazhduakëshin,
perfect (koha e kryer),paskam vazhduar,paske vazhduar,paska vazhduar,paskemi vazhduar,paskeni vazhduar,paskan vazhduar,
pluperfect (koha e kryer),paskësha vazhduar,paskëshe vazhduar,paskësh vazhduar,paskëshim vazhduar,paskëshit vazhduar,paskëshin vazhduar,
,,,,,,,
imperative (mënyra urdhërore),—,ti,—,—,ju,—,
,vazhdo,,,vazhdoni,,,
