0,1,2,3,4,5
,indefinite forms (trajta të pashquara),,definite forms (trajta të shquara),,
singular (numri njëjës),plural (numri shumës),singular (numri njëjës),plural (numri shumës),,
nominative (emërore),veti,veti,vetia,vetitë,
accusative (kallëzore),veti,veti,vetinë,vetitë,
genitive (gjinore)(i/e/të/së),vetie,vetive,vetisë,vetive,
dative (dhanore),vetie,vetive,vetisë,vetive,
ablative (rrjedhore),vetie,vetish,vetisë,vetive,
,singular,plural,,,
,masculine,feminine,masculine,feminine,
nominative,i veti,e veta,të vetët,të vetat,
accusative,të vetin,të vetën,të vetët,të vetat,
genitive/dative/ablative,të vetit,së vetës,të vetëve,të vetave,
,adjectives,,pronouns,,
,singular,plural,singular,plural,
1st person,im,ynë,imi,yni,
2nd person,yt,juaj,yti,juaji,
3rd person,m,i tij,i tyre,i tiji,i tyri
f,i saj,i saji,,,
3rd person reflexive,i vet,i veti,,,
