0,1,2,3
,singular,plural,
senses 1-4,sense 5,,
indefinite,съд,съдове,съдилища
definite(subject form),съдът,съдовете,съдилищата
definite(object form),съда,,
count form,—,съда,—
vocative form,съде,съдове,съдилища
