0,1
,singular (uncountable)
nominative,նամականի ‎(namakani)
genitive,նամականւոյ ‎(namakanwoy)
dative,նամականւոյ ‎(namakanwoy)
accusative,նամականի ‎(namakani)
ablative,նամականւոյ ‎(namakanwoy)
instrumental,նամականւով ‎(namakanwov)
locative,նամականի ‎(namakani)
the singular instrumental can be նամականիւ ‎(namakaniw),
,singular (uncountable)
nominative,նամականի ‎(namakani)
genitive,նամականւոյ ‎(namakanwoy)
dative,նամականւոյ ‎(namakanwoy)
accusative,նամականի ‎(namakani)
ablative,նամականւոյ ‎(namakanwoy)
instrumental,նամականեաւ ‎(namakaneaw)
locative,նամականի ‎(namakani)
