0,1,2,3,4,5,6
,singular,,plural,,,
nominative,քանանացի ‎(kʿananacʿi),քանանացիք ‎(kʿananacʿikʿ),,,,
genitive,քանանացւոյ ‎(kʿananacʿwoy),քանանացւոց ‎(kʿananacʿwocʿ),,,,
dative,քանանացւոյ ‎(kʿananacʿwoy),քանանացւոց ‎(kʿananacʿwocʿ),,,,
accusative,քանանացի ‎(kʿananacʿi),քանանացիս ‎(kʿananacʿis),,,,
ablative,քանանացւոյ ‎(kʿananacʿwoy),քանանացւոց ‎(kʿananacʿwocʿ),,,,
instrumental,քանանացւով ‎(kʿananacʿwov),քանանացւովք ‎(kʿananacʿwovkʿ),,,,
locative,քանանացի ‎(kʿananacʿi),քանանացիս ‎(kʿananacʿis),,,,
քանանուհի ‎(kʿananuhi),,,,,,
