0,1
,singular (uncountable)
nominative,երկանաքար ‎(erkanakʿar)
genitive,երկանաքարի ‎(erkanakʿari)
dative,երկանաքարի ‎(erkanakʿari)
accusative,երկանաքար ‎(erkanakʿar)
ablative,երկանաքարէ ‎(erkanakʿarē)
instrumental,երկանաքարիւ ‎(erkanakʿariw)
locative,երկանաքարի ‎(erkanakʿari)
the declension for singular forms can be reconstructed,
