0,1
,singular (uncountable)
nominative,սերունդ ‎(serund)
genitive,սերնդեան ‎(serndean)
dative,սերնդեան ‎(serndean)
accusative,սերունդ ‎(serund)
ablative,սերնդենէ ‎(serndenē)
instrumental,սերնդեամբ ‎(serndeamb)
locative,սերնդեան ‎(serndean)
"The singulars follow n-type declension, but the singular genitive can also be o-type սերնդոյ ‎(serndoy).",
,plural only (plurale tantum)
nominative,սերունդ ‎(serund)
genitive,սերնդոց ‎(serndocʿ)
dative,սերնդոց ‎(serndocʿ)
accusative,սերունդս ‎(serunds)
ablative,սերնդոց ‎(serndocʿ)
instrumental,սերնդովք ‎(serndovkʿ)
locative,սերունդս ‎(serunds)
The plurals follow o-type declension.,
