0,1
,singular (uncountable)
nominative,արաւր ‎(arawr)
genitive,արաւրոյ ‎(arawroy)
dative,արաւրոյ ‎(arawroy)
accusative,արաւր ‎(arawr)
ablative,արաւրոյ ‎(arawroy)
instrumental,արաւրով ‎(arawrov)
locative,արաւր ‎(arawr)
,singular (uncountable)
nominative,արաւր ‎(arawr)
genitive,արաւրի ‎(arawri)
dative,արաւրի ‎(arawri)
accusative,արաւր ‎(arawr)
ablative,արաւրէ ‎(arawrē)
instrumental,արաւրիւ ‎(arawriw)
locative,արաւրի ‎(arawri)
post-classical,
,singular (uncountable)
nominative,արաւր ‎(arawr)
genitive,արաւրի ‎(arawri)
dative,արաւրի ‎(arawri)
accusative,արաւր ‎(arawr)
ablative,արաւրէ ‎(arawrē)
instrumental,արաւրաւ ‎(arawraw)
locative,արաւրի ‎(arawri)
