0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,خېژم (xežëm),خېژې (xeže),خېژي (xeži),خېژو (xežu),خېژﺉ (xežëy),خېژي (xeži),,
,,,,,,,,
present perfective,وخېژم (wë xežëm),وخېژې (wë xeže),وخېژي (wë xeži),وخېژو (wë xežu),وخېژﺉ (wë xežëy),وخېژي (wë xeži),,
,,,,,,,,
past imperfective,ختلم (xëtëlëm),ختلې (xëtële),خوت (khot),ختله (xëtëla),ختلو (xëtëlu),ختلﺉ (xëtëlëy),ختل / ختلۀ (xëtël / xëtëlë),ختلې (xëtële)
,,,,,,,,
past perfective,وختلم (wë xëtëlëm),وختلې (wë xëtële),وخوت (wë khot),وختله (wë xëtëla),وختلو (wë xëtëlu),وختلﺉ (wë xëtëlëy),وختلۀ / وختل (wë xëtël / wëxëtëlë),وختلې (wë xëtële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,خېژم (xežëm),خېژې (xeže),خېژي (xeži),خېژو (xežu),خېژﺉ (xežëy),خېژي (xeži),,
,,,,,,,,
present perfective,وخېژم (wë xežëm),وخېژې (wë xeže),وخېژي (wë xeži),وخېژو (wë xežu),وخېژﺉ (wë xežëy),وخېژي (wë xeži),,
,,,,,,,,
past imperfective,ختم (xëtëm),ختې (xëte),خوت (khot),خته (xëta),ختو (xëtu),ختﺉ (xëtëy),خاتۀ (xâtë),ختې (xëte)
,,,,,,,,
past perfective,وختم (wë xëtëm),وختې (wë xëte),وخوت (wë khot),وخته (wë xëta),وختو (wë xëtu),وختﺉ (wë xëtëy),وخاتۀ (wë xâtë),وختې (wë xëte)
,تۀ,,تاسو,,,,,
Postive,,,,,,,,
وخېژه (wë xeža),وخېژئ (wë xežai),,,,,,,
Negative,,,,,,,,
مه خېژه (më xeža),مه خېژئ (më xežai),,,,,,,
