0,1,2,3,4,5,6,7,8,9,10
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,بندوم (bëndëwëm),بندوې (bëndëwe),بندوي (bëndëwi),بندوو (bëndëwu),بندوﺉ (bëndëwai),بندوي (bëndëwi),,,,
,,,,,,,,,,
present perfective,بند كړم (bënd kṛëm),بند كړې (bënd kṛe),بند كړي (bënd kṛi),بند كړو (bënd kṛu),بند كړﺉ (bënd kṛai),بند كړي (bënd ki),,,,
,,,,,,,,,,
past imperfective,بندولم (bënd këwëlëm),بندولې (bëndëwële),بنداوۀ (bëndâwë),بندوله (bëndëwëla),بندولو (bëndëwëlu),بندولﺉ (bëndëwëlai),بندولۀبندول (bëndëwëlë \ bëndëwël),بندولې (bëndëwële),,
,,,,,,,,,,
past perfective,بند كړلمبند كړم (bënd kṛëlëm \ bënd kṛëm),بند كړلېبند كړې (bënd kṛële \ bënd kṛe),بند كړ (bënd kë/këṛ),بنده كړلهبنده كړه (bënda kṛëla \ bënda kṛa),بند كړلوبند كړو (bënd kṛëlu \ bënd kṛu),بند كړلﺉبند كړﺉ (bënd kṛëlai \ bënd kṛai),بند كړلبند كړلۀ (bënd kṛël \ bënd kṛëlë),بندې كړلېبندې كړې (bënde kṛële \ bënde kṛe),,
,singular subject,,plural subject,,,,,,,
Postive,Masculine[singular direct object],Feminine[singular direct object],Masculine[plural direct objects],Feminine [plural direct objects],Masculine[singular direct object],Feminine [singular direct object],Masculine[plural direct objects],Feminine[plural direct objects available],,
بند کړه(bënd ka),بنده کړه(bënda ka),بند کړه(bënd ka),بندې کړه(bëndeka ),بند کړئ(bënd kai),بنده کړئ(bënda kai),بند کړئ(bënd kai),بندې کړئ(bënde kai),,,
Negative,مه بندوه (më bëndëwa),مه بندوئ (më bëndëwai),,,,,,,,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,بند کړی يم (bënd këṛay yëm),بنده کړې يم (bënda këṛe yëm/yëma),بند کړی يې (bënd këṛay ye),بنده کړې يې (bënda këṛe ye),بند کړی دی (bënd këṛay day),بنده کړې ده (bënda këṛe da),بند کړي يو (bënd këṛi yu),بند کړي يئ/ياست (bënd këṛi yai/yâst),بند کړي دي (bënd këṛi di),
,,,,,,,,,,
past perfect,بند کړی وم (bënd këṛay wëm),بنده کړې وم/ومه (bënda këṛe wëm/wëma),بند کړی وې (bënd këṛay we),بنده کړې وې (bënda këṛe we),بند کړی و (bënd këṛay wë),بنده کړې وه (bëndae wa),بند کړي وو (bënd këṛi wu),بند کړي وئ (bënd këṛi wai),بند کړي وو\ول (bënd këṛi wu/wël),بندې کړې وې (bënde këṛe we)
,,,,,,,,,,
future perfect,به بند کړی يم (bë bënd këṛay yëm),به بنده کړې يم (bë bënda këṛe yëm/yëma),به بند کړی يې (bë bënd këṛay ye),به بنده کړې يې bë (bënda këṛe ye),به بند کړی دی (bë bënd këṛay day),به بنده کړې ده (bë bënda këṛe da),به بند کړي يو (bë bënd këṛi yu),به بند کړي يئ/ياست (bë bënd këṛi yai/yâst),به بند کړي دي}} (bë bënd këṛi di),
