0,1,2
,indefinite forms,
nominative,উদ্দেশ্য (uddesshô),
objective,উদ্দেশ্য / উদ্দেশ্যকে (uddesshô (semantically general or indefinite) / uddesshôke (semantically definite)),
genitive,উদ্দেশ্যের (uddessher),
locative,উদ্দেশ্যে (uddesshe),
,,
,definite forms,
,singular,plural
nominative,"উদ্দেশ্যটা, উদ্দেশ্যটি (uddesshô-ţa (colloquial) , uddesshô-ţi (formal))","উদ্দেশ্যগুলা, উদ্দেশ্যগুলো (uddesshô-gula (colloquial), uddesshô-gulo (formal))"
objective,"উদ্দেশ্যটা, উদ্দেশ্যটি (uddesshô-ţa (colloquial), uddesshô-ţi (formal))","উদ্দেশ্যগুলা, উদ্দেশ্যগুলো (uddesshô-gula (colloquial), uddesshô-gulo (formal))"
genitive,"উদ্দেশ্যটার, উদ্দেশ্যটির (uddesshô-ţar (colloquial), uddesshô-ţir (formal))","উদ্দেশ্যগুলার, উদ্দেশ্যগুলোর (uddesshô-gular (colloquial), uddesshô-gulor (formal))"
locative,"উদ্দেশ্যটাতে / উদ্দেশ্যটায়, উদ্দেশ্যটিতে (uddesshô-ţate / uddesshô-ṭaẹ (colloquial), uddesshô-ţite (formal))","উদ্দেশ্যগুলাতে, উদ্দেশ্যগুলোতে (uddesshô-gulate (colloquial), uddesshô-gulote (formal))"
