0,1,2,3,4,5,6,7
"Cognate with Karakhanid [script needed] ‎(kizlēmēk, “to hide, conceal”), [script needed] ‎(kiz, “wardrobe, clothes bag, any kind of cupboard”), Azeri gizləmək ‎(“to hide, conceal”), Chagatai [script needed] ‎(kizlemek, “to hide”), Kipchak [Arabic needed] ‎(kizle-, “to hide”), Turkmen gīzlemek ‎(“to be concealed, put away”), Yakut кистээ ‎(kistee, “to hide, conceal”).",,,,,,,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlerim,gizlersin,gizler,gizleriz,gizlersiniz,gizlerler
present continuous,gizliyorum,gizliyorsun,gizliyor,gizliyoruz,gizliyorsunuz,gizliyorlar,
past definite,gizledim,gizledin,gizledi,gizledik,gizlediniz,gizlediler,
past continuous,gizliyordum,gizliyordun,gizliyordu,gizliyorduk,gizliyordunuz,gizliyorlardı,
future simple,gizleyeceğim,gizleyeceksin,gizleyecek,gizleyeceğiz,gizleyeceksiniz,gizleyecekler,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizler miyim?,gizler misin?,gizler mi?,gizler miyiz?,gizler misiniz?,gizlerler mi?
present continuous,gizliyor muyum?,gizliyor musun?,gizliyor mu?,gizliyor muyuz?,gizliyor musunuz?,gizliyorlar mı?,
past definite,gizledim mi?,gizledin mi?,gizledi mi?,gizledik mi?,gizlediniz mi?,gizlediler mi?,
past continuous,gizliyor muydum?,gizliyor muydun?,gizliyor muydu?,gizliyor muyduk?,gizliyor muydunuz?,gizliyorlar mıydı?,
future simple,gizleyecek miyim?,gizleyecek misin?,gizleyecek mi?,gizleyecek miyiz?,gizleyecek misiniz?,gizleyecekler mi?,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlemem,gizlemezsin,gizlemez,gizlemeyiz,gizlemezsiniz,gizlemezler
present continuous,gizlemiyorum,gizlemiyorsun,gizlemiyor,gizlemiyoruz,gizlemiyorsunuz,gizlemiyorlar,
past definite,gizlemedim,gizlemedin,gizlemedi,gizlemedik,gizlemediniz,gizlemediler,
past continuous,gizlemiyordum,gizlemiyordun,gizlemiyordu,gizlemiyorduk,gizlemiyordunuz,gizlemiyordular,
future simple,gizlemeyeceğim,gizlemeyeceksin,gizlemeyecek,gizlemeyeceğiz,gizlemeyeceksiniz,gizlemeyecekler,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person,3rd person,
,ben,sen,o,biz,siz,onlar,
indicative,present simple,gizlemez miyim?,gizlemez misin?,gizlemez mi?,gizlemez miyiz?,gizlemez misiniz?,gizlemezler mi?
present continuous,gizlemiyor muyum?,gizlemiyor musun?,gizlemiyor mu?,gizlemiyor muyuz?,gizlemiyor musunuz?,gizlemiyorlar mı?,
past definite,gizlemedim mi?,gizlemedin mi?,gizlemedi mi?,gizlemedik mi?,gizlemediniz mi?,gizlemediler mi?,
past continuous,gizlemiyor muydum?,gizlemiyor muydun?,gizlemiyor muydu?,gizlemiyor muyduk?,gizlemiyor muydunuz?,gizlemiyorlar mıydı?,
future simple,gizlemeyecek miyim?,gizlemeyecek misin?,gizlemeyecek mi?,gizlemeyecek miyiz?,gizlemeyecek misiniz?,gizlemeyecekler mi?,
gizlememek  gizleme  gizlenmek  gizleşmek,,gizletmek  gizleyebilmek  gizleyememek,,gizleyici  gizleyiş  gizli,,,
