0,1,2
,singular (tekil),plural (çoğul)
nominative (yalın),koyun,koyunlar
definite accusative (belirtme),koyunu,koyunları
dative (yönelme),koyuna,koyunlara
locative (bulunma),koyunda,koyunlarda
ablative (çıkma),koyundan,koyunlardan
genitive (tamlayan),koyunun,koyunların
benim (my),singular (tekil),plural (çoğul)
nominative (yalın),koyunum,koyunlarım
definite accusative (belirtme),koyunumu,koyunlarımı
dative (yönelme),koyunuma,koyunlarıma
locative (bulunma),koyunumda,koyunlarımda
ablative (çıkma),koyunumdan,koyunlarımdan
genitive (tamlayan),koyunumun,koyunlarımın
senin (your),singular (tekil),plural (çoğul)
nominative (yalın),koyunun,koyunların
definite accusative (belirtme),koyununu,koyunlarını
dative (yönelme),koyununa,koyunlarına
locative (bulunma),koyununda,koyunlarında
ablative (çıkma),koyunundan,koyunlarından
genitive (tamlayan),koyununun,koyunlarının
onun (her/his/its),singular (tekil),plural (çoğul)
nominative (yalın),koyunu,koyunları
definite accusative (belirtme),koyununu,koyunlarını
dative (yönelme),koyununa,koyunlarına
locative (bulunma),koyununda,koyunlarında
ablative (çıkma),koyunundan,koyunlarından
genitive (tamlayan),koyununun,koyunlarının
bizim (our),singular (tekil),plural (çoğul)
nominative (yalın),koyunumuz,koyunlarımız
definite accusative (belirtme),koyunumuzu,koyunlarımızı
dative (yönelme),koyunumuza,koyunlarımıza
locative (bulunma),koyunumuzda,koyunlarımızda
ablative (çıkma),koyunumuzdan,koyunlarımızdan
genitive (tamlayan),koyunumuzun,koyunlarımızın
sizin (your),singular (tekil),plural (çoğul)
nominative (yalın),koyununuz,koyunlarınız
definite accusative (belirtme),koyununuzu,koyunlarınızı
dative (yönelme),koyununuza,koyunlarınıza
locative (bulunma),koyununuzda,koyunlarınızda
ablative (çıkma),koyununuzdan,koyunlarınızdan
genitive (tamlayan),koyununuzun,koyunlarınızın
onların (their),singular (tekil),plural (çoğul)
nominative (yalın),koyunları,koyunları
definite accusative (belirtme),koyunlarını,koyunlarını
dative (yönelme),koyunlarına,koyunlarına
locative (bulunma),koyunlarında,koyunlarında
ablative (çıkma),koyunlarından,koyunlarından
genitive (tamlayan),koyunlarının,koyunlarının
simple present,singular,plural
ben (I am),koyunum,koyunlarım*
sen (you are),koyunsun,koyunlarsın*
o (he/she/it is),koyun / koyundur,koyunlar* / koyunlardır*
biz (we are),koyunuz,koyunlarız
siz (you are),koyunsunuz,koyunlarsınız
onlar (they are),koyunlar,koyunlardır
simple past,singular,plural
ben (I was),koyundum,koyunlardım*
sen (you were),koyundun,koyunlardın*
o (he/she/it was),koyundu,koyunlardı*
biz (we were),koyunduk,koyunlardık
siz (you were),koyundunuz,koyunlardınız
onlar (they were),koyundular,koyunlardı
indirect / unwitnessed past,singular,plural
ben (I was),koyunmuşum,koyunlarmışım*
sen (you were),koyunmuşsun,koyunlarmışsın*
o (he/she/it was),koyunmuş,koyunlarmış*
biz (we were),koyunmuşuz,koyunlarmışız
siz (you were),koyunmuşsunuz,koyunlarmışsınız
onlar (they were),koyunmuşlar,koyunlarmış
"*Not used, but perhaps rarely - chiefly grammatical formations. Note: Plural forms are not used with adjectives.",,
,singular (tekil),plural (çoğul)
nominative (yalın),koyun,koyunlar
definite accusative (belirtme),koynu,koyunları
dative (yönelme),koyna,koyunlara
locative (bulunma),koyunda,koyunlarda
ablative (çıkma),koyundan,koyunlardan
genitive (tamlayan),koynun,koyunların
benim (my),singular (tekil),plural (çoğul)
nominative (yalın),koynum,koyunlarım
definite accusative (belirtme),koynumu,koyunlarımı
dative (yönelme),koynuma,koyunlarıma
locative (bulunma),koynumda,koyunlarımda
ablative (çıkma),koynumdan,koyunlarımdan
genitive (tamlayan),koynumun,koyunlarımın
senin (your),singular (tekil),plural (çoğul)
nominative (yalın),koynun,koyunların
definite accusative (belirtme),koynunu,koyunlarını
dative (yönelme),koynuna,koyunlarına
locative (bulunma),koynunda,koyunlarında
ablative (çıkma),koynundan,koyunlarından
genitive (tamlayan),koynunun,koyunlarının
onun (her/his/its),singular (tekil),plural (çoğul)
nominative (yalın),koynu,koyunları
definite accusative (belirtme),koynunu,koyunlarını
dative (yönelme),koynuna,koyunlarına
locative (bulunma),koynunda,koyunlarında
ablative (çıkma),koynundan,koyunlarından
genitive (tamlayan),koynunun,koyunlarının
bizim (our),singular (tekil),plural (çoğul)
nominative (yalın),koynumuz,koyunlarımız
definite accusative (belirtme),koynumuzu,koyunlarımızı
dative (yönelme),koynumuza,koyunlarımıza
locative (bulunma),koynumuzda,koyunlarımızda
ablative (çıkma),koynumuzdan,koyunlarımızdan
genitive (tamlayan),koynumuzun,koyunlarımızın
sizin (your),singular (tekil),plural (çoğul)
nominative (yalın),koynunuz,koyunlarınız
definite accusative (belirtme),koynunuzu,koyunlarınızı
dative (yönelme),koynunuza,koyunlarınıza
locative (bulunma),koynunuzda,koyunlarınızda
ablative (çıkma),koynunuzdan,koyunlarınızdan
genitive (tamlayan),koynunuzun,koyunlarınızın
onların (their),singular (tekil),plural (çoğul)
nominative (yalın),koyunları,koyunları
definite accusative (belirtme),koyunlarını,koyunlarını
dative (yönelme),koyunlarına,koyunlarına
locative (bulunma),koyunlarında,koyunlarında
ablative (çıkma),koyunlarından,koyunlarından
genitive (tamlayan),koyunlarının,koyunlarının
