0,1,2,3,4,5,6
değerce  değercik  değerci,,değeri  değerken,,değerle  değerli,,değerse  değersiz
,singular (tekil),plural (çoğul),,,,
nominative (yalın),değer,değerler,,,,
definite accusative (belirtme),değeri,değerleri,,,,
dative (yönelme),değere,değerlere,,,,
locative (bulunma),değerde,değerlerde,,,,
ablative (çıkma),değerden,değerlerden,,,,
genitive (tamlayan),değerin,değerlerin,,,,
benim (my),singular (tekil),plural (çoğul),,,,
nominative (yalın),değerim,değerlerim,,,,
definite accusative (belirtme),değerimi,değerlerimi,,,,
dative (yönelme),değerime,değerlerime,,,,
locative (bulunma),değerimde,değerlerimde,,,,
ablative (çıkma),değerimden,değerlerimden,,,,
genitive (tamlayan),değerimin,değerlerimin,,,,
senin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),değerin,değerlerin,,,,
definite accusative (belirtme),değerini,değerlerini,,,,
dative (yönelme),değerine,değerlerine,,,,
locative (bulunma),değerinde,değerlerinde,,,,
ablative (çıkma),değerinden,değerlerinden,,,,
genitive (tamlayan),değerinin,değerlerinin,,,,
onun (her/his/its),singular (tekil),plural (çoğul),,,,
nominative (yalın),değeri,değerleri,,,,
definite accusative (belirtme),değerini,değerlerini,,,,
dative (yönelme),değerine,değerlerine,,,,
locative (bulunma),değerinde,değerlerinde,,,,
ablative (çıkma),değerinden,değerlerinden,,,,
genitive (tamlayan),değerinin,değerlerinin,,,,
bizim (our),singular (tekil),plural (çoğul),,,,
nominative (yalın),değerimiz,değerlerimiz,,,,
definite accusative (belirtme),değerimizi,değerlerimizi,,,,
dative (yönelme),değerimize,değerlerimize,,,,
locative (bulunma),değerimizde,değerlerimizde,,,,
ablative (çıkma),değerimizden,değerlerimizden,,,,
genitive (tamlayan),değerimizin,değerlerimizin,,,,
sizin (your),singular (tekil),plural (çoğul),,,,
nominative (yalın),değeriniz,değerleriniz,,,,
definite accusative (belirtme),değerinizi,değerlerinizi,,,,
dative (yönelme),değerinize,değerlerinize,,,,
locative (bulunma),değerinizde,değerlerinizde,,,,
ablative (çıkma),değerinizden,değerlerinizden,,,,
genitive (tamlayan),değerinizin,değerlerinizin,,,,
onların (their),singular (tekil),plural (çoğul),,,,
nominative (yalın),değerleri,değerleri,,,,
definite accusative (belirtme),değerlerini,değerlerini,,,,
dative (yönelme),değerlerine,değerlerine,,,,
locative (bulunma),değerlerinde,değerlerinde,,,,
ablative (çıkma),değerlerinden,değerlerinden,,,,
genitive (tamlayan),değerlerinin,değerlerinin,,,,
simple present,singular,plural,,,,
ben (I am),değerim,değerlerim*,,,,
sen (you are),değersin,değerlersin*,,,,
o (he/she/it is),değer / değerdir,değerler* / değerlerdir*,,,,
biz (we are),değeriz,değerleriz,,,,
siz (you are),değersiniz,değerlersiniz,,,,
onlar (they are),değerler,değerlerdir,,,,
simple past,singular,plural,,,,
ben (I was),değerdim,değerlerdim*,,,,
sen (you were),değerdin,değerlerdin*,,,,
o (he/she/it was),değerdi,değerlerdi*,,,,
biz (we were),değerdik,değerlerdik,,,,
siz (you were),değerdiniz,değerlerdiniz,,,,
onlar (they were),değerdiler,değerlerdi,,,,
indirect / unwitnessed past,singular,plural,,,,
ben (I was),değermişim,değerlermişim*,,,,
sen (you were),değermişsin,değerlermişsin*,,,,
o (he/she/it was),değermiş,değerlermiş*,,,,
biz (we were),değermişiz,değerlermişiz,,,,
siz (you were),değermişsiniz,değerlermişsiniz,,,,
onlar (they were),değermişler,değerlermiş,,,,
"*Not used, but perhaps rarely - chiefly grammatical formations. Note: Plural forms are not used with adjectives.",,,,,,
