0,1,2,3,4
,singular (tekil),plural (çoğul),,
nominative (yalın),beyaz,beyazlar,,
definite accusative (belirtme),beyazı,beyazları,,
dative (yönelme),beyaza,beyazlara,,
locative (bulunma),beyazda,beyazlarda,,
ablative (çıkma),beyazdan,beyazlardan,,
genitive (tamlayan),beyazın,beyazların,,
benim (my),singular (tekil),plural (çoğul),,
nominative (yalın),beyazım,beyazlarım,,
definite accusative (belirtme),beyazımı,beyazlarımı,,
dative (yönelme),beyazıma,beyazlarıma,,
locative (bulunma),beyazımda,beyazlarımda,,
ablative (çıkma),beyazımdan,beyazlarımdan,,
genitive (tamlayan),beyazımın,beyazlarımın,,
senin (your),singular (tekil),plural (çoğul),,
nominative (yalın),beyazın,beyazların,,
definite accusative (belirtme),beyazını,beyazlarını,,
dative (yönelme),beyazına,beyazlarına,,
locative (bulunma),beyazında,beyazlarında,,
ablative (çıkma),beyazından,beyazlarından,,
genitive (tamlayan),beyazının,beyazlarının,,
onun (her/his/its),singular (tekil),plural (çoğul),,
nominative (yalın),beyazı,beyazları,,
definite accusative (belirtme),beyazını,beyazlarını,,
dative (yönelme),beyazına,beyazlarına,,
locative (bulunma),beyazında,beyazlarında,,
ablative (çıkma),beyazından,beyazlarından,,
genitive (tamlayan),beyazının,beyazlarının,,
bizim (our),singular (tekil),plural (çoğul),,
nominative (yalın),beyazımız,beyazlarımız,,
definite accusative (belirtme),beyazımızı,beyazlarımızı,,
dative (yönelme),beyazımıza,beyazlarımıza,,
locative (bulunma),beyazımızda,beyazlarımızda,,
ablative (çıkma),beyazımızdan,beyazlarımızdan,,
genitive (tamlayan),beyazımızın,beyazlarımızın,,
sizin (your),singular (tekil),plural (çoğul),,
nominative (yalın),beyazınız,beyazlarınız,,
definite accusative (belirtme),beyazınızı,beyazlarınızı,,
dative (yönelme),beyazınıza,beyazlarınıza,,
locative (bulunma),beyazınızda,beyazlarınızda,,
ablative (çıkma),beyazınızdan,beyazlarınızdan,,
genitive (tamlayan),beyazınızın,beyazlarınızın,,
onların (their),singular (tekil),plural (çoğul),,
nominative (yalın),beyazları,beyazları,,
definite accusative (belirtme),beyazlarını,beyazlarını,,
dative (yönelme),beyazlarına,beyazlarına,,
locative (bulunma),beyazlarında,beyazlarında,,
ablative (çıkma),beyazlarından,beyazlarından,,
genitive (tamlayan),beyazlarının,beyazlarının,,
Colors in Turkish · renkler (layout · text),,,,
"kırmızı, kızıl",yeşil,sarı,bej,"beyaz, ak"
"kırmızı, al",pembe,turkuaz,limon çürüğü,yavruağzı
mor,lacivert,turuncu,"gri, boz",eflatun
"siyah, kara",mor,"kahverengi, boz",gök,"mavi,"
