0,1,2,3,4,5
Root,,,,,
ח־ס־ה,,,,,
non-finite forms,to-infinitive: לַחֲסוֹת,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,חָסִיתִי,חֲסִיתֶם,,
second person,חָסִיתָ,חָסִית,חֲסִיתֶם,חֲסִיתֶן 1,
third person,חָסָה,חָסְתָה,חָסוּ,,
present,all persons,חוֹסֶה,חוֹסָה,חוֹסִים,חוֹסוֹת
future,first person,אֶחֱסֶה,נַחֲסֶה,,
second person,תַּחֲסֶה,תַּחֲסִי,תַּחֲסוֹ,תַּחֲסֶינָה 2,
third person,יַחֲסֶה,תַּחֲסֶה,יַחֲסוּ,תַּחֲסֶינָה 2,
imperative,second person,חֲסֵה,חֲסִי,חֲסוּ,חֲסֶינָה 2
notes,"Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
Root,,,,,
ח־ו־ס,,,,,
