0,1,2,3,4,5
non-finite forms,to-infinitive: לָרוּץ,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,רַצְתִּי,רַצְנוּ,,
second person,רַצְתָּ,רַצְתְּ,רַצְתֶּם,רַצְתֶּן 1,
third person,רָץ,רָצָה,רָצוּ,,
present,all persons,רָץ,רָצָה,רָצִים,רָצוֹת
future,first person,אָרוּץ,נָרוּץ,,
second person,תָּרוּץ,תָּרוּצִי,תָּרוּצוּ,תרוצנה \ תָּרֹצְנָה 2,
third person,יָרוּץ,תָּרוּץ,יָרוּצוּ,תרוצנה \ תָּרֹצְנָה 2,
imperative,second person,רוּץ,רוּצִי,רוּצוּ,רוצנה \ רֹצְנָה 2
notes,"Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
