0,1,2,3,4,5
non-finite forms,to-infinitive: — 1,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,שוניתי \ שֻׁנֵּיתִי,שונינו \ שֻׁנֵּינוּ,,
second person,שונית \ שֻׁנֵּיתָ,שונית \ שֻׁנֵּית,שוניתם \ שֻׁנֵּיתֶם,שוניתן \ שֻׁנֵּיתֶן 2,
third person,שונה \ שֻׁנָּה,שונתה \ שֻׁנְּתָה,שונו \ שֻׁנּוּ,,
present,all persons,משונה \ מְשֻׁנֶּה,משונה \ מְשֻׁנָּה,משונים \ מְשֻׁנִּים,משונות \ מְשֻׁנּוֹת
future,first person,אשונה \ אֲשֻׁנֶּה,נשונה \ נְשֻׁנֶּה,,
second person,תשונה \ תְּשֻׁנֶּה,תשוני \ תְּשֻׁנִּי,תשונו \ תְּשֻׁנּוּ,תשונינה \ תְּשֻׁנֶּינָה 3,
third person,ישונה \ יְשֻׁנֶּה,תשונה \ תְּשֻׁנֶּה,ישונו \ יְשֻׁנּוּ,תשונינה \ תְּשֻׁנֶּינָה 3,
imperative,second person,— 1,— 1,— 1,— 1
notes,"Passive binyanim, binyan pu'al included, lack infinitive and imperative forms.  Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
