0,1,2,3,4,5,6
Root,,,,,,
ק־שׁ־ר,,,,,,
non-finite forms,to-infinitive: לקשור \ לִקְשֹׁר,,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,,
past,first person,קָשַׁרְתִּי,קָשַׁרְנוּ,,,
second person,קָשַׁרְתָּ,קָשַׁרְתְּ,קְשַׁרְתֶּם 1,"קְשַׁרְתֶּן 1, 2",,
third person,קָשַׁר,קָשְׁרָה,קָשְׁרוּ,,,
present,all persons,קוֹשֵׁר,קוֹשֶׁרֶת,קוֹשְׁרִים,קוֹשְׁרוֹת,
future,first person,אקשור \ אֶקְשֹׁר,נקשור \ נִקְשֹׁר,,,
second person,תקשור \ תִּקְשֹׁר,תִּקְשְׁרִי,תִּקְשְׁרוּ,תקשורנה \ תִּקְשֹׁרְנָה 3,,
third person,יקשור \ יִקְשֹׁר,תקשור \ תִּקְשֹׁר,יִקְשְׁרוּ,תקשורנה \ תִּקְשֹׁרְנָה 3,,
imperative,second person,קשור \ קְשֹׁר,קִשְׁרִי,קִשְׁרוּ,קשורנה \ קְשֹׁרְנָה 3,
notes,"Pronounced קָשַׁרְתֶּם/ן in modern informal Hebrew  Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,,
Number,Isolated forms,With possessive pronouns,,,,
State,Form,Person,singular,plural,,
m.,f.,m.,f.,,,
singular,indefinite,קַשָּׁר,first,קַשָּׁרִי,קַשָּׁרֵנוּ,
definite,הַקַּשָּׁר,second,קַשָּׁרְךָ,קַשָּׁרֵךְ,קַשַּׁרְכֶם,קַשַּׁרְכֶן
construct,קַשַּׁר־,third,קַשָּׁרוֹ,קַשָּׁרָהּ,קַשָּׁרָם,קַשָּׁרָן
feminine singular,indefinite,קַשֶּׁרֶת,first,קַשֶּׁרֶתִי,קַשֶּׁרֶתֵנוּ,
definite,הַקַּשֶּׁרֶת,second,קַשֶּׁרֶתְךָ,קַשֶּׁרֶתֵךְ,קַשֶּׁרֶתְכֶם,קַשֶּׁרֶתְכֶן
construct,קַשֶּׁרֶת־,third,קַשֶּׁרֶתוֹ,קַשֶּׁרֶתָהּ,קַשֶּׁרֶתָם,קַשֶּׁרֶתָן
feminine singular,indefinite,קַשָּׁרִית,first,קַשָּׁרִיתִי,קַשָּׁרִיתֵנוּ,
definite,הַקַּשָּׁרִית,second,קַשָּׁרִיתְךָ,קַשָּׁרִיתֵךְ,קַשָּׁרִיתְכֶם,קַשָּׁרִיתְכֶן
construct,קַשָּׁרִית־,third,קַשָּׁרִיתוֹ,קַשָּׁרִיתָהּ,קַשָּׁרִיתָם,קַשָּׁרִיתָן
masculine plural,indefinite,קַשָּׁרִים,first,קשריי \ קַשָּׁרַי,קַשָּׁרֵינוּ,
definite,הַקַּשָּׁרִים,second,קַשָּׁרֶיךָ,קשרייך \ קַשָּׁרַיִךְ,קַשָּׁרֵיכֶם,קַשָּׁרֵיכֶן
construct,קַשָּׁרֵי־,third,קַשָּׁרָיו,קַשָּׁרֶיהָ,קַשָּׁרֵיהֶם,קַשָּׁרֵיהֶן
feminine plural,indefinite,קַשָּׁרוֹת,first,קשרותיי \ קַשָּׁרוֹתַי,קַשָּׁרוֹתֵינוּ,
definite,הַקַּשָּׁרוֹת,second,קַשָּׁרוֹתֶיךָ,קשרותייך \ קַשָּׁרוֹתַיִךְ,קַשָּׁרוֹתֵיכֶם,קַשָּׁרוֹתֵיכֶן
construct,קַשָּׁרוֹת־,third,קַשָּׁרוֹתָיו,קַשָּׁרוֹתֶיהָ,קַשָּׁרוֹתֵיהֶם,קַשָּׁרוֹתֵיהֶן
Number,Isolated forms,With possessive pronouns,,,,
State,Form,Person,singular,plural,,
m.,f.,m.,f.,,,
singular,indefinite,קֶשֶׁר,first,קֶשֶׁרִי,קֶשֶׁרֵנוּ,
definite,הַקֶּשֶׁר,second,קֶשֶׁרְךָ,קֶשֶׁרֵךְ,קֶשֶׁרְכֶם,קֶשֶׁרְכֶן
construct,קֶשֶׁר־,third,קֶשֶׁרוֹ,קֶשֶׁרָהּ,קֶשֶׁרָם,קֶשֶׁרָן
plural,indefinite,קְשָׁרִים,first,קשריי \ קְשָׁרַי,קְשָׁרֵינוּ,
definite,הַקְּשָׁרִים,second,קְשָׁרֶיךָ,קשרייך \ קְשָׁרַיִךְ,קִשְׁרֵיכֶם,קִשְׁרֵיכֶן
construct,קִשְׁרֵי־,third,קְשָׁרָיו,קְשָׁרֶיהָ,קִשְׁרֵיהֶם,קִשְׁרֵיהֶן
