0,1,2,3,4,5
PIE root,,,,,
*ǵenh₁-,,,,,
audio,,(file),,,
Inflection of kung,,,,,
,Singular,Plural,,,
Indefinite,Definite,Indefinite,Definite,,
Nominative,kung,kungen,kungar,kungarna,
Genitive,kungs,kungens,kungars,kungarnas,
kungabalk  kungabesök  kungabok  kungaborg  kungabröllop  kungadotter  kungadöme  kungaed  kungafamilj  kungafond  kungaförsäkran  kungagrav,kungahus  kungakrona  kungalängd  kungamakare  kungamakt  kungamantel  kungamiddag  kungamord  kungamördare  kungapalats  kungapar  kungarike,kungason  kungasäte  kungatitel  kungatrogen  kungatron  kungaätt  kunglig  Kungsbacka  kungsblå  kungsblått  kungsbonde  kungsfisk,kungsfiskare  kungsflundra  kungsfågel  kungsgård  kungshög  kungsljus  kungsmynta  kungsord  kungspudel  kungssång  kungstanke  kungstiger,kungsvatten  kungsväg  Kungsängen  kungsängslilja  kungsörn,
Chess pieces in Swedish · schackpjäser (schack + pjäser) (layout · text),,,,,
,,,,,
kung,"drottning, dam",torn,löpare,"springare, häst",bonde
