0,1,2
,Active,Passive
Infinitive,besvärja,besvärjas
Present tense,besvärjer,"besvärjs, besvärjes"
Past tense,besvor,besvors
Supine,besvurit,besvurits
Imperative,besvärj,—
Present participle,besvärjande,
Past participle,besvuren,
,Active,Passive
Infinitive,besvärja,besvärjas
Present tense,besvär,"besvärs, besväres"
Past tense,besvor,besvors
Supine,besvurit,besvurits
Imperative,besvär,—
Present participle,besvärjande,
Past participle,besvuren,
,Active,Passive
Infinitive,besvärja,besvärjas
Present tense,besvärjer,"besvärjs, besvärjes"
Past tense,besvärjde,besvärjdes
Supine,besvärjt,besvärjts
Imperative,besvärj,—
Present participle,besvärjande,
Past participle,besvärjd,
