0,1,2
Audio,,(file)
,singular,plural
nominative,курку́льkurkúlʹ,куркулі́kurkulí
genitive,куркуля́kurkuljá,куркулі́вkurkulív
dative,"куркуле́ві, куркулю́kurkulévi, kurkuljú",куркуля́мkurkuljám
accusative,куркуля́kurkuljá,куркулі́вkurkulív
instrumental,куркуле́мkurkulém,куркуля́миkurkuljámy
locative,"куркуле́ві, куркулю́, куркулі́kurkulévi, kurkuljú, kurkulí",куркуля́хkurkuljáx
vocative,курку́люkurkúlju,куркулі́kurkulí
куркуленко ‎(kurkulenko)  куркуленчиха ‎(kurkulenčyxa)  куркулиха ‎(kurkulyxa)  куркулівна ‎(kurkulivna)  куркульня ‎(kurkulʹnja),,куркульство ‎(kurkulʹstvo)  куркулити ‎(kurkulyty)  підкуркульник ‎(pidkurkulʹnyk)  розкуркулити ‎(rozkurkulyty)  розкуркулювати ‎(rozkurkuljuvaty)
