0,1,2,3,4,5
Audio,,(file),,,
,masculine,neuter,feminine,plural,
nominative,си́нійsýnij,"си́нє, си́нєє*sýnje, sýnjeje*","си́ня, си́няя*sýnja, sýnjaja*","си́ні, си́нії*sýni, sýniji*",
genitive,си́ньогоsýnʹoho,си́ньоїsýnʹoji,си́ніхsýnix,,
dative,си́ньомуsýnʹomu,си́нійsýnij,си́німsýnim,,
accusative,animate,си́ньогоsýnʹoho,"си́нє, си́нєє*sýnje, sýnjeje*","си́ню, си́нюю*sýnju, sýnjuju*",си́ніхsýnix
inanimate,си́нійsýnij,"си́ні, си́нії*sýni, sýniji*",,,
instrumental,си́німsýnim,си́ньоюsýnʹoju,си́німиsýnimy,,
locative,"си́ньому, си́німsýnʹomu, sýnim",си́нійsýnij,си́ніхsýnix,,
notes,* Dated or dialectal,,,,
