0,1,2,3,4,5,6,7
Audio,,(file),,,,,
,singular,plural,impersonal,,,,
first,second,third,first,second,third,,
present/future,dechreuaf,dechreui,"dechrau, dechreua",dechreuwn,dechreuwch,dechreuant,dechreuir
imperfect/conditional,dechreuwn,dechreuit,dechreuai,dechreuem,dechreuech,dechreuent,dechreuid
preterite,dechreuais,dechreuaist,dechreuodd,dechreuasom,dechreuasoch,dechreuasant,dechreuwyd
pluperfect,dechreuaswn,dechreuasit,dechreuasai,dechreuasem,dechreuasech,dechreuasent,"dechreuasid, dechreuesid"
subjunctive,dechreuwyf,dechreuych,dechreuo,dechreuom,dechreuoch,dechreuont,dechreuer
imperative,—,"dechrau, dechreua",dechreued,dechreuwn,dechreuwch,dechreuent,dechreuer
verbal noun,dechrau,,,,,,
verbal adjectives,dechreuedig,,,,,,
Inflected colloquial forms,singular,plural,,,,,
first,second,third,first,second,third,,
future,"dechreua i, dechreuaf i",dechreui di,"dechreuith o/e/hi, dechreuiff e/hi",dechreuwn ni,dechreuwch chi,dechreuan nhw,
conditional,"dechreuwn i, dechreuswn i","dechreuet ti, dechreuset ti","dechreuai fo/fe/hi, dechreusai fo/fe/hi","dechreuen ni, dechreusen ni","dechreuech chi, dechreusech chi","dechreuen nhw, dechreusen nhw",
preterite,"dechreuais i, dechreues i","dechreuaist ti, dechreuest ti",dechreuodd o/e/hi,dechreuon ni,dechreuoch chi,dechreuon nhw,
imperative,—,dechreua,—,—,dechreuwch,—,
"Note: All other forms are periphrastic, as usual in colloquial Welsh.",,,,,,,
Welsh mutation,,,,,,,
radical,soft,nasal,aspirate,,,,
dechrau,ddechrau,nechrau,unchanged,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,
