0,1,2
infinitive,délati,
supine,délat,
verbal noun,délanje,
participles,adjectival,adverbial
present active,delajóč,—
past active,délal,—
past passive,délan,—
,present indicative,imperative
1st singular,délam,—
2nd singular,délaš,délaj
3rd singular,déla,—
1st dual,délava,délajva
2nd dual,délata,délajta
3rd dual,délata,—
1st plural,délamo,délajmo
2nd plural,délate,délajte
3rd plural,délajo,—
Compound tenses (see délal for all forms),,
past indic.,sem délal,
pluperfect indic.,sem bil délal,
future indic.,bom délal,
present cond.,bi délal,
past cond.,bi bil délal,
dodélati  izdélati  obdélati  oddélati,,podélati  predélati  pridélati  zdélati
