0,1,2,3,4,5,6,7,8,9,10
Verbal nouns,Infinitive,tresti,,,,,,,,
Supine,trest,,,,,,,,,
Gerunds,Present Active,-,,,,,,,,
Past Active,-,,,,,,,,,
Participles,Number,Singular,Dual,Plural,,,,,,
Gender,m,f,n,m,f,n,m,f,n,
Present Active,-,-,-,-,-,-,-,-,-,
Past Active,tresel,tresla,treslo,tresla,tresli,tresli,tresli,tresle,tresla,
Past Passive,raztresen,raztresena,raztreseno,raztresena,raztreseni,raztreseni,raztreseni,raztresene,raztresena,
,,,,,,,,,,
Number,Singular,Dual,Plural,,,,,,,
Person,First,Second,Third,First,Second,Third,First,Second,Third,
Tenses,jaz,ti,on / ona / ono,midva / midve,vidva / vedve,onadva / onidve,mi,vi,oni / one / ona,
Indicative,Present,tresem,treseš,trese,treseva,treseta,treseta,tresemo,tresete,tresejo
Future,bom tresel,boš tresel,bo tresel,bova tresl,bosta tresla,bosta tresla,bomo tresli,boste tresli,bodo tresli,
Past,sem tresel,si tresel,je tresel,sva tresla,sta tresla,sta tresla,smo tresli,ste tresli,so tresli,
Pluperfect,sem bil tresel,si bil tresel,je bil tresel,sva bila tresla,sta bila tresla,sta bila tresla,smo bili tresli,ste bili tresli,so bili tresli,
Conditional,Present,bi tresel,bi tresel,bi tresel,bi tresla,bi tresla,bi tresla,bi tresli,bi tresli,bi tresli
Past,bi bil tresel,bi bil tresel,bi bil tresel,bi bila tresla,bi bila tresla,bi bila tresla,bi bili tresli,bi bili tresli,bi bili tresli,
Imperative,-,tresi,naj trese,tresiva,tresita,naj treseta,tresimo,tresite,naj tresejo,
