0,1,2
,0.0,1  >
Cardinal : nìč,,
,,
,masc./fem.,neuter
nominative,nihčè,nìč
accusative,nikóga,nìč
genitive,nikógar,ničésar
dative,nikómur,ničémur
locative,nikómer,ničémer
instrumental,nikómer,ničímer
,singular,
nominative,nìč,
accusative,nìč,
genitive,níča,
dative,níču,
locative,níču,
instrumental,níčem,
